
Spine Center Intensity Mean Ch=4 Img=1
 ==================== 
Spine Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
24.25,,Spine,4,9,Image 1,5,1,100000002,610000007318,
0,,Spine,4,7,Image 1,3,1,100000000,610000007322,
21,,Spine,4,3,Image 1,1,1,100000002,610000007325,
44.125,,Spine,4,12,Image 1,3,1,100000003,610000007332,
41.8571,,Spine,4,12,Image 1,3,1,100000003,610000007338,
17.75,,Spine,4,2,Image 1,3,1,100000002,610000007341,
30.25,,Spine,4,3,Image 1,1,1,100000002,610000007344,
46.5,,Spine,4,2,Image 1,2,1,100000000,610000007347,
71.5,,Spine,4,5,Image 1,3,1,100000003,610000007350,
33.3333,,Spine,4,11,Image 1,4,1,100000002,610000007352,
49,,Spine,4,11,Image 1,2,1,100000003,610000007354,
32.5,,Spine,4,7,Image 1,1,1,100000003,610000007357,
74.5455,,Spine,4,0,Image 1,1,1,100000000,610000007367,
10,,Spine,4,15,Image 1,4,1,100000001,610000007369,
37.3333,,Spine,4,0,Image 1,1,1,100000000,610000007372,
46,,Spine,4,7,Image 1,1,1,100000003,610000007375,
38.5,,Spine,4,4,Image 1,2,1,100000002,610000007377,
48.2,,Spine,4,4,Image 1,1,1,100000003,610000007381,
41.75,,Spine,4,16,Image 1,4,1,100000001,610000007385,
38.75,,Spine,4,4,Image 1,3,1,100000000,610000007388,
29.25,,Spine,4,12,Image 1,3,1,100000003,610000007391,
26.5,,Spine,4,16,Image 1,3,1,100000001,610000007394,
31.3333,,Spine,4,10,Image 1,5,1,100000002,610000007396,
19.3333,,Spine,4,15,Image 1,3,1,100000001,610000007398,
42.3333,,Spine,4,1,Image 1,1,1,100000000,610000007403,
50.6667,,Spine,4,2,Image 1,2,1,100000001,610000007405,
26,,Spine,4,0,Image 1,1,1,100000001,610000007409,
38.3333,,Spine,4,1,Image 1,1,1,100000002,610000007411,
48,,Spine,4,5,Image 1,3,1,100000001,610000007414,
51,,Spine,4,15,Image 1,4,1,100000001,610000007417,
29,,Spine,4,5,Image 1,4,1,100000003,610000007420,
32.6667,,Spine,4,1,Image 1,1,1,100000000,610000007422,
32.5,,Spine,4,4,Image 1,2,1,100000002,610000007424,
34.5,,Spine,4,10,Image 1,3,1,100000001,610000007427,
67.3333,,Spine,4,11,Image 1,4,1,100000002,610000007429,
26.3333,,Spine,4,13,Image 1,3,1,100000001,610000007432,
69.5,,Spine,4,0,Image 1,1,1,100000001,610000007435,
56.6667,,Spine,4,0,Image 1,1,1,100000001,610000007440,
51.5,,Spine,4,0,Image 1,1,1,100000000,610000007443,
38.3333,,Spine,4,16,Image 1,3,1,100000001,610000007445,
42,,Spine,4,4,Image 1,2,1,100000001,610000007447,
78.75,,Spine,4,11,Image 1,4,1,100000002,610000007452,
35.6667,,Spine,4,17,Image 1,4,1,100000001,610000007455,
19.3333,,Spine,4,16,Image 1,3,1,100000003,610000007457,
20,,Spine,4,9,Image 1,5,1,100000002,610000007459,
60,,Spine,4,7,Image 1,4,1,100000000,610000007461,
52.5,,Spine,4,15,Image 1,3,1,100000001,610000007464,
35.3333,,Spine,4,5,Image 1,4,1,100000002,610000007466,
28.6667,,Spine,4,6,Image 1,2,1,100000003,610000007469,
39.6667,,Spine,4,4,Image 1,1,1,100000002,610000007472,
36.3333,,Spine,4,8,Image 1,3,1,100000003,610000007474,
29,,Spine,4,9,Image 1,5,1,100000002,610000007476,
59.75,,Spine,4,0,Image 1,1,1,100000001,610000007482,
41.3333,,Spine,4,4,Image 1,1,1,100000003,610000007486,
31.6667,,Spine,4,4,Image 1,2,1,100000002,610000007489,
72.6667,,Spine,4,2,Image 1,1,1,100000003,610000007494,
68.75,,Spine,4,1,Image 1,1,1,100000003,610000007497,
67.3333,,Spine,4,0,Image 1,1,1,100000000,610000007503,
66.3333,,Spine,4,0,Image 1,1,1,100000000,610000007506,
78.3333,,Spine,4,5,Image 1,2,1,100000002,610000007508,
76.8,,Spine,4,0,Image 1,1,1,100000000,610000007512,
39.3333,,Spine,4,16,Image 1,3,1,100000001,610000007515,
34.6667,,Spine,4,1,Image 1,2,1,100000003,610000007517,
126.286,,Spine,4,1,Image 1,1,1,100000003,610000007524,
62.25,,Spine,4,3,Image 1,2,1,100000001,610000007528,
41.6667,,Spine,4,9,Image 1,4,1,100000002,610000007530,
41.5,,Spine,4,3,Image 1,3,1,100000000,610000007535,
56,,Spine,4,7,Image 1,1,1,100000003,610000007537,
60,,Spine,4,4,Image 1,2,1,100000002,610000007543,
57.6667,,Spine,4,0,Image 1,1,1,100000000,610000007546,
51,,Spine,4,6,Image 1,2,1,100000001,610000007549,
106.8,,Spine,4,1,Image 1,1,1,100000003,610000007553,
106.8,,Spine,4,4,Image 1,1,1,100000002,610000007559,
69.3333,,Spine,4,0,Image 1,1,1,100000001,610000007562,
43.5,,Spine,4,13,Image 1,8,1,100000000,610000007565,
39.25,,Spine,4,13,Image 1,2,1,100000003,610000007569,
61,,Spine,4,0,Image 1,1,1,100000000,610000007572,
49,,Spine,4,0,Image 1,1,1,100000000,610000007576,
76,,Spine,4,5,Image 1,2,1,100000003,610000007579,
67.3333,,Spine,4,11,Image 1,2,1,100000003,610000007581,
70,,Spine,4,4,Image 1,2,1,100000002,610000007583,
90.5,,Spine,4,0,Image 1,1,1,100000001,610000007588,
46.3333,,Spine,4,0,Image 1,1,1,100000001,610000007591,
70.6667,,Spine,4,9,Image 1,2,1,100000001,610000007596,
83,,Spine,4,0,Image 1,1,1,100000000,610000007599,
19,,Spine,4,5,Image 1,3,1,100000003,610000007601,
55,,Spine,4,1,Image 1,1,1,100000000,610000007604,
37.5,,Spine,4,1,Image 1,2,1,100000002,610000007607,
109.333,,Spine,4,1,Image 1,1,1,100000003,610000007610,
61,,Spine,4,0,Image 1,1,1,100000000,610000007613,
53,,Spine,4,0,Image 1,1,1,100000000,610000007615,
60.6,,Spine,4,4,Image 1,2,1,100000001,610000007619,
49.3333,,Spine,4,11,Image 1,4,1,100000000,610000007621,
125.25,,Spine,4,4,Image 1,1,1,100000002,610000007624,
53.6667,,Spine,4,5,Image 1,3,1,100000003,610000007627,
78.75,,Spine,4,1,Image 1,1,1,100000003,610000007632,
66.25,,Spine,4,1,Image 1,1,1,100000003,610000007635,
37,,Spine,4,8,Image 1,3,1,100000003,610000007637,
61.3333,,Spine,4,4,Image 1,1,1,100000003,610000007639,
102.333,,Spine,4,1,Image 1,1,1,100000003,610000007641,
119.25,,Spine,4,1,Image 1,1,1,100000003,610000007645,
83,,Spine,4,5,Image 1,1,1,100000002,610000007649,
