
Intensity Max Ch=4 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
190,,Surface,4,Image 1,1,Class B,0,
189,,Surface,4,Image 1,1,Class B,1,
199,,Surface,4,Image 1,1,Class B,2,
192,,Surface,4,Image 1,1,Class B,3,
187,,Surface,4,Image 1,1,,4,
