
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,Set 1,ID,
0,µm,Surface,Image 1,1,Class B,0,
0,µm,Surface,Image 1,1,Class B,1,
1.26892,µm,Surface,Image 1,1,Class B,2,
0,µm,Surface,Image 1,1,Class B,3,
1.23083,µm,Surface,Image 1,1,,4,
