
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
8075,,Surface,3,Image 1,1,Class B,0,
44993,,Surface,3,Image 1,1,Class B,1,
150901,,Surface,3,Image 1,1,Class B,2,
316081,,Surface,3,Image 1,1,Class B,3,
162236,,Surface,3,Image 1,1,,4,
