
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
4.12417,°,Segment,23,5,1,100000001,510000000041,
38.2158,°,Segment,22,5,1,100000001,510000000054,
5.43174,°,Segment,20,4,1,100000001,510000000090,
9.54716,°,Segment,19,4,1,100000001,510000000095,
10.1695,°,Segment,17,4,1,100000001,510000000101,
2.7905,°,Segment,16,4,1,100000001,510000000116,
42.1718,°,Segment,15,3,1,100000001,510000000131,
23.6734,°,Segment,14,3,1,100000001,510000000134,
34.4054,°,Segment,13,3,1,100000001,510000000185,
18.9097,°,Segment,11,2,1,100000001,510000000190,
14.0167,°,Segment,10,2,1,100000001,510000000203,
31.4321,°,Segment,9,2,1,100000001,510000000211,
22.7782,°,Segment,8,2,1,100000001,510000000224,
30.7901,°,Segment,7,2,1,100000001,510000000226,
15.0462,°,Segment,6,2,1,100000001,510000000239,
15.1281,°,Segment,5,2,1,100000001,510000000241,
2.38055,°,Segment,4,2,1,100000001,510000000244,
38.3099,°,Segment,3,2,1,100000001,510000000266,
12.3238,°,Segment,2,1,1,100000001,510000000270,
0.858206,°,Segment,1,1,1,100000001,510000000274,
0,°,Segment,0,1,1,100000001,510000000285,
33.4278,°,Segment,23,4,1,100000001,510000000333,
88.4929,°,Segment,22,4,1,100000001,510000000343,
55.4988,°,Segment,21,5,1,100000001,510000000354,
88.3464,°,Segment,23,6,1,100000001,510000000356,
59.2608,°,Segment,23,5,1,100000001,510000000359,
64.646,°,Segment,23,5,1,100000001,510000000361,
82.0554,°,Segment,17,5,1,100000001,510000000400,
46.7625,°,Segment,20,6,1,100000001,510000000407,
18.4655,°,Segment,19,5,1,100000001,510000000411,
72.5978,°,Segment,18,5,1,100000001,510000000413,
33.1505,°,Segment,21,7,1,100000001,510000000417,
13.697,°,Segment,20,6,1,100000001,510000000419,
89.3142,°,Segment,19,6,1,100000001,510000000422,
69.368,°,Segment,20,5,1,100000001,510000000433,
103.189,°,Segment,21,6,1,100000001,510000000436,
77.8916,°,Segment,20,7,1,100000001,510000000438,
100.557,°,Segment,20,5,1,100000001,510000000445,
68.4605,°,Segment,19,5,1,100000001,510000000449,
4.28606,°,Segment,16,4,1,100000001,510000000467,
77.9203,°,Segment,15,4,1,100000001,510000000493,
88.221,°,Segment,16,5,1,100000001,510000000496,
111.844,°,Segment,14,4,1,100000001,510000000499,
18.4473,°,Segment,7,5,1,100000000,510000000516,
20.853,°,Segment,6,4,1,100000000,510000000526,
16.6279,°,Segment,4,3,1,100000000,510000000538,
13.3642,°,Segment,3,3,1,100000000,510000000631,
28.0714,°,Segment,2,3,1,100000000,510000000651,
4.2354,°,Segment,1,2,1,100000000,510000000664,
0,°,Segment,0,1,1,100000000,510000000695,
73.0365,°,Segment,7,4,1,100000000,510000000715,
8.11759,°,Segment,2,2,1,100000002,510000000732,
25.6745,°,Segment,1,1,1,100000002,510000000777,
0,°,Segment,0,1,1,100000002,510000000799,
5.48805,°,Segment,13,8,1,100000000,510000000849,
28.9314,°,Segment,12,7,1,100000000,510000000868,
10.2504,°,Segment,11,6,1,100000000,510000000871,
35.3708,°,Segment,10,5,1,100000000,510000000876,
4.50958,°,Segment,9,4,1,100000000,510000000919,
8.57989,°,Segment,8,4,1,100000000,510000000922,
14.4715,°,Segment,7,4,1,100000000,510000000932,
9.42095,°,Segment,6,4,1,100000000,510000000951,
12.5036,°,Segment,5,4,1,100000000,510000000955,
96.9192,°,Segment,4,4,1,100000000,510000000966,
85.5676,°,Segment,13,7,1,100000000,510000000974,
27.1653,°,Segment,14,7,1,100000000,510000000992,
9.67179,°,Segment,13,6,1,100000000,510000001007,
51.8376,°,Segment,12,6,1,100000000,510000001013,
99.7365,°,Segment,13,7,1,100000000,510000001018,
22.1701,°,Segment,12,6,1,100000000,510000001021,
33.0674,°,Segment,11,5,1,100000000,510000001031,
67.6708,°,Segment,10,4,1,100000000,510000001035,
55.4733,°,Segment,8,4,1,100000000,510000001041,
12.9074,°,Segment,7,3,1,100000000,510000001113,
65.1308,°,Segment,6,3,1,100000000,510000001121,
75.1797,°,Segment,12,5,1,100000000,510000001123,
40.0815,°,Segment,8,3,1,100000000,510000001134,
81.837,°,Segment,11,4,1,100000000,510000001139,
75.3813,°,Segment,9,5,1,100000000,510000001146,
96.6052,°,Segment,8,5,1,100000000,510000001150,
3.98261,°,Segment,8,6,1,100000000,510000001161,
63.4915,°,Segment,7,4,1,100000000,510000001165,
92.928,°,Segment,8,5,1,100000000,510000001188,
82.4453,°,Segment,6,5,1,100000000,510000001192,
59.5866,°,Segment,5,4,1,100000000,510000001206,
74.4587,°,Segment,5,5,1,100000000,510000001212,
85.4387,°,Segment,3,4,1,100000000,510000001221,
4.21663,°,Segment,2,3,1,100000002,510000001251,
29.4488,°,Segment,1,2,1,100000002,510000001276,
91.4741,°,Segment,2,1,1,100000002,510000001278,
71.406,°,Segment,1,2,1,100000002,510000001319,
81.2427,°,Segment,2,2,1,100000002,510000001322,
4.98279,°,Segment,8,4,1,100000002,510000001332,
21.5679,°,Segment,7,4,1,100000002,510000001384,
9.68714,°,Segment,6,3,1,100000002,510000001386,
12.6597,°,Segment,5,3,1,100000002,510000001397,
11.6939,°,Segment,4,2,1,100000002,510000001449,
15.7032,°,Segment,3,1,1,100000002,510000001475,
12.0573,°,Segment,2,1,1,100000002,510000001500,
4.35055,°,Segment,1,1,1,100000002,510000001522,
0,°,Segment,0,1,1,100000002,510000001566,
98.6008,°,Segment,8,5,1,100000002,510000001584,
45.2728,°,Segment,6,3,1,100000002,510000001621,
84.4081,°,Segment,5,2,1,100000002,510000001633,
36.2653,°,Segment,8,4,1,100000002,510000001658,
93.8231,°,Segment,7,3,1,100000002,510000001663,
40.462,°,Segment,9,3,1,100000002,510000001674,
16.4863,°,Segment,8,3,1,100000002,510000001680,
7.94745,°,Segment,7,2,1,100000002,510000001682,
79.5061,°,Segment,6,2,1,100000002,510000001689,
61.9756,°,Segment,9,4,1,100000002,510000001698,
72.2998,°,Segment,8,2,1,100000002,510000001705,
98.1332,°,Segment,6,4,1,100000002,510000001709,
97.3143,°,Segment,8,3,1,100000002,510000001711,
31.2921,°,Segment,8,1,1,100000002,510000001722,
