
Spine Center Number of Voxel Ch=4 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
4,,Spine,4,9,Image 1,5,1,100000002,610000007318,
0,,Spine,4,7,Image 1,3,1,100000000,610000007322,
4,,Spine,4,3,Image 1,1,1,100000002,610000007325,
8,,Spine,4,12,Image 1,3,1,100000003,610000007332,
7,,Spine,4,12,Image 1,3,1,100000003,610000007338,
4,,Spine,4,2,Image 1,3,1,100000002,610000007341,
4,,Spine,4,3,Image 1,1,1,100000002,610000007344,
4,,Spine,4,2,Image 1,2,1,100000000,610000007347,
4,,Spine,4,5,Image 1,3,1,100000003,610000007350,
3,,Spine,4,11,Image 1,4,1,100000002,610000007352,
3,,Spine,4,11,Image 1,2,1,100000003,610000007354,
4,,Spine,4,7,Image 1,1,1,100000003,610000007357,
11,,Spine,4,0,Image 1,1,1,100000000,610000007367,
3,,Spine,4,15,Image 1,4,1,100000001,610000007369,
3,,Spine,4,0,Image 1,1,1,100000000,610000007372,
4,,Spine,4,7,Image 1,1,1,100000003,610000007375,
2,,Spine,4,4,Image 1,2,1,100000002,610000007377,
5,,Spine,4,4,Image 1,1,1,100000003,610000007381,
4,,Spine,4,16,Image 1,4,1,100000001,610000007385,
4,,Spine,4,4,Image 1,3,1,100000000,610000007388,
4,,Spine,4,12,Image 1,3,1,100000003,610000007391,
4,,Spine,4,16,Image 1,3,1,100000001,610000007394,
3,,Spine,4,10,Image 1,5,1,100000002,610000007396,
3,,Spine,4,15,Image 1,3,1,100000001,610000007398,
6,,Spine,4,1,Image 1,1,1,100000000,610000007403,
3,,Spine,4,2,Image 1,2,1,100000001,610000007405,
4,,Spine,4,0,Image 1,1,1,100000001,610000007409,
3,,Spine,4,1,Image 1,1,1,100000002,610000007411,
4,,Spine,4,5,Image 1,3,1,100000001,610000007414,
4,,Spine,4,15,Image 1,4,1,100000001,610000007417,
4,,Spine,4,5,Image 1,4,1,100000003,610000007420,
3,,Spine,4,1,Image 1,1,1,100000000,610000007422,
2,,Spine,4,4,Image 1,2,1,100000002,610000007424,
4,,Spine,4,10,Image 1,3,1,100000001,610000007427,
3,,Spine,4,11,Image 1,4,1,100000002,610000007429,
3,,Spine,4,13,Image 1,3,1,100000001,610000007432,
4,,Spine,4,0,Image 1,1,1,100000001,610000007435,
