
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
0.03125,,Surface,3,Image 1,1,Class B,0,
0.125,,Surface,3,Image 1,1,Class B,1,
0.0625,,Surface,3,Image 1,1,Class B,2,
0.125,,Surface,3,Image 1,1,Class B,3,
0.125,,Surface,3,Image 1,1,,4,
