
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-0.612,1.80261,µm^3,Volume Inside,Image 1,1,,
-0.476,7.2485,µm^3,Volume Inside,Image 1,1,,
-0.34,25.8849,µm^3,Volume Inside,Image 1,1,,
-0.204,75.5044,µm^3,Volume Inside,Image 1,1,,
-0.068,161.579,µm^3,Volume Inside,Image 1,1,,
