
Spine Min Diameter
 ==================== 
Spine Min Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.24375,µm,Spine,4,1,1,100000003,610000007639,
0.219561,µm,Spine,1,1,1,100000003,610000007641,
0.335156,µm,Spine,1,1,1,100000003,610000007645,
0.178409,µm,Spine,5,1,1,100000002,610000007649,
0.1625,µm,Spine,1,1,1,100000003,610000007653,
0.342773,µm,Spine,0,1,1,100000002,610000007656,
0.195508,µm,Spine,4,1,1,100000003,610000007661,
0.469186,µm,Spine,0,1,1,100000001,610000007665,
0.226579,µm,Spine,7,3,1,100000001,610000007670,
0.384985,µm,Spine,1,1,1,100000003,610000007673,
0.247559,µm,Spine,7,3,1,100000003,610000007675,
0.281605,µm,Spine,2,1,1,100000003,610000007678,
0.1625,µm,Spine,3,1,1,100000002,610000007684,
0.371127,µm,Spine,0,1,1,100000000,610000007687,
0.283341,µm,Spine,0,1,1,100000000,610000007691,
0.48317,µm,Spine,0,1,1,100000001,610000007695,
0.191083,µm,Spine,0,1,1,100000000,610000007697,
0.305718,µm,Spine,13,4,1,100000001,610000007701,
0.276779,µm,Spine,0,1,1,100000000,610000007704,
0.229336,µm,Spine,11,2,1,100000001,610000007707,
0.282764,µm,Spine,1,2,1,100000003,610000007712,
0.251012,µm,Spine,1,1,1,100000003,610000007716,
0.202532,µm,Spine,14,4,1,100000001,610000007719,
0.204456,µm,Spine,18,4,1,100000003,610000007722,
0.313815,µm,Spine,0,1,1,100000000,610000007726,
0.326747,µm,Spine,1,1,1,100000000,610000007729,
0.363086,µm,Spine,1,1,1,100000003,610000007733,
0.234863,µm,Spine,0,1,1,100000000,610000007735,
0.483445,µm,Spine,0,1,1,100000001,610000007737,
0.216682,µm,Spine,0,1,1,100000001,610000007740,
0.259707,µm,Spine,1,1,1,100000000,610000007743,
0.335156,µm,Spine,1,1,1,100000003,610000007746,
0.251215,µm,Spine,1,1,1,100000003,610000007750,
0.298212,µm,Spine,1,1,1,100000003,610000007754,
0.24375,µm,Spine,16,4,1,100000001,610000007758,
0.279713,µm,Spine,1,1,1,100000003,610000007761,
0.264062,µm,Spine,1,1,1,100000003,610000007765,
0.279297,µm,Spine,5,3,1,100000003,610000007774,
0.1625,µm,Spine,2,1,1,100000000,610000007778,
0.215891,µm,Spine,13,4,1,100000001,610000007780,
0.324583,µm,Spine,0,1,1,100000000,610000007782,
0.325,µm,Spine,3,2,1,100000001,610000007787,
0.238672,µm,Spine,11,3,1,100000001,610000007792,
0.317383,µm,Spine,1,1,1,100000003,610000007794,
0.3351,µm,Spine,5,3,1,100000003,610000007799,
0.341005,µm,Spine,3,2,1,100000001,610000007802,
0.388477,µm,Spine,1,1,1,100000003,610000007808,
0.180641,µm,Spine,1,1,1,100000003,610000007812,
0.431917,µm,Spine,0,1,1,100000000,610000007817,
0.296319,µm,Spine,0,1,1,100000000,610000007819,
0.325,µm,Spine,1,1,1,100000003,610000007822,
0.256979,µm,Spine,1,2,1,100000002,610000007826,
0.1625,µm,Spine,1,1,1,100000003,610000007829,
0.288975,µm,Spine,3,2,1,100000003,610000007836,
0.410508,µm,Spine,0,1,1,100000000,610000007848,
0.324037,µm,Spine,0,1,1,100000001,610000007860,
0.42011,µm,Spine,3,1,1,100000003,610000007869,
0.212688,µm,Spine,0,1,1,100000000,610000007875,
0.275806,µm,Spine,7,5,1,100000000,610000007954,
0.200905,µm,Spine,13,7,1,100000000,610000007955,
