
Filament No. Segment Branch Pts
 ==================== 
Filament No. Segment Branch Pts,Unit,Category,Time,ID,
36,,Filament,1,100000000,
87,,Filament,1,100000001,
45,,Filament,1,100000002,
67,,Filament,1,100000003,
