
Spine Center Intensity Sum Ch=5 Img=1
 ==================== 
Spine Center Intensity Sum,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
2,,Spine,5,3,Image 1,2,1,100000000,610000005411,
10,,Spine,5,2,Image 1,1,1,100000000,610000005414,
8,,Spine,5,2,Image 1,2,1,100000000,610000005415,
8,,Spine,5,1,Image 1,1,1,100000000,610000005416,
6,,Spine,5,1,Image 1,2,1,100000000,610000005417,
1,,Spine,5,6,Image 1,3,1,100000000,610000005419,
6,,Spine,5,6,Image 1,3,1,100000000,610000005420,
6,,Spine,5,5,Image 1,3,1,100000000,610000005421,
0,,Spine,5,3,Image 1,2,1,100000000,610000005422,
96,,Spine,5,1,Image 1,2,1,100000000,610000005423,
2,,Spine,5,10,Image 1,6,1,100000001,610000005425,
1,,Spine,5,13,Image 1,9,1,100000001,610000005426,
1,,Spine,5,13,Image 1,9,1,100000001,610000005427,
1,,Spine,5,10,Image 1,6,1,100000001,610000005428,
4,,Spine,5,9,Image 1,6,1,100000001,610000005429,
23,,Spine,5,8,Image 1,6,1,100000001,610000005430,
7,,Spine,5,8,Image 1,4,1,100000001,610000005431,
6,,Spine,5,8,Image 1,3,1,100000001,610000005432,
1,,Spine,5,11,Image 1,3,1,100000001,610000005433,
6,,Spine,5,10,Image 1,2,1,100000001,610000005434,
4,,Spine,5,3,Image 1,2,1,100000001,610000005435,
1,,Spine,5,2,Image 1,1,1,100000001,610000005436,
2,,Spine,5,1,Image 1,1,1,100000001,610000005437,
5,,Spine,5,9,Image 1,7,1,100000001,610000005441,
5,,Spine,5,9,Image 1,6,1,100000001,610000005442,
26,,Spine,5,4,Image 1,4,1,100000001,610000005443,
1,,Spine,5,4,Image 1,4,1,100000001,610000005444,
3,,Spine,5,3,Image 1,2,1,100000001,610000005445,
0,,Spine,5,4,Image 1,4,1,100000001,610000005447,
2,,Spine,5,6,Image 1,3,1,100000001,610000005448,
3,,Spine,5,9,Image 1,3,1,100000001,610000005449,
2,,Spine,5,6,Image 1,4,1,100000001,610000005450,
6,,Spine,5,6,Image 1,4,1,100000001,610000005451,
5,,Spine,5,4,Image 1,2,1,100000001,610000005452,
2,,Spine,5,1,Image 1,1,1,100000001,610000005453,
0,,Spine,5,1,Image 1,1,1,100000001,610000005454,
4,,Spine,5,0,Image 1,1,1,100000001,610000005455,
2,,Spine,5,0,Image 1,1,1,100000001,610000005456,
5,,Spine,5,5,Image 1,3,1,100000002,610000005459,
11,,Spine,5,2,Image 1,1,1,100000002,610000005460,
145,,Spine,5,2,Image 1,1,1,100000002,610000005461,
1,,Spine,5,2,Image 1,1,1,100000002,610000005462,
1,,Spine,5,0,Image 1,1,1,100000002,610000005463,
