
Segment Center Number of Voxel Ch=1 Img=1
 ==================== 
Segment Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
51,,Segment,1,1,Image 1,1,1,100000003,510000001836,
16,,Segment,1,2,Image 1,2,1,100000000,510000001863,
13,,Segment,1,3,Image 1,1,1,100000037,510000001875,
8,,Segment,1,3,Image 1,3,1,100000003,510000001882,
50,,Segment,1,1,Image 1,2,1,100000000,510000001931,
6,,Segment,1,0,Image 1,1,1,100000000,510000001938,
20,,Segment,1,2,Image 1,3,1,100000037,510000001969,
15,,Segment,1,1,Image 1,2,1,100000037,510000001983,
4,,Segment,1,0,Image 1,1,1,100000037,510000001993,
23,,Segment,1,2,Image 1,3,1,100000003,510000002015,
27,,Segment,1,1,Image 1,2,1,100000000,510000002041,
4,,Segment,1,4,Image 1,3,1,100000003,510000002044,
13,,Segment,1,4,Image 1,3,1,100000037,510000002056,
20,,Segment,1,3,Image 1,3,1,100000037,510000002075,
10,,Segment,1,1,Image 1,2,1,100000037,510000002084,
29,,Segment,1,0,Image 1,1,1,100000037,510000002114,
10,,Segment,1,3,Image 1,1,1,100000037,510000002123,
9,,Segment,1,1,Image 1,1,1,100000037,510000002131,
13,,Segment,1,2,Image 1,2,1,100000037,510000002143,
22,,Segment,1,1,Image 1,2,1,100000003,510000002165,
8,,Segment,1,0,Image 1,1,1,100000003,510000002174,
27,,Segment,1,0,Image 1,1,1,100000003,510000002204,
15,,Segment,1,1,Image 1,2,1,100000003,510000002218,
12,,Segment,1,0,Image 1,1,1,100000003,510000002241,
7,,Segment,1,2,Image 1,2,1,100000037,510000002247,
9,,Segment,1,1,Image 1,2,1,100000037,510000002255,
10,,Segment,1,0,Image 1,1,1,100000037,510000002273,
10,,Segment,1,2,Image 1,2,1,100000000,510000002282,
6,,Segment,1,1,Image 1,1,1,100000000,510000002287,
9,,Segment,1,2,Image 1,1,1,100000000,510000002295,
5,,Segment,1,1,Image 1,1,1,100000003,510000002299,
5,,Segment,1,1,Image 1,1,1,100000037,510000002303,
10,,Segment,1,2,Image 1,2,1,100000003,510000002312,
13,,Segment,1,1,Image 1,2,1,100000037,510000002325,
10,,Segment,1,1,Image 1,2,1,100000003,510000002334,
11,,Segment,1,0,Image 1,1,1,100000000,510000002346,
8,,Segment,1,1,Image 1,2,1,100000037,510000002353,
4,,Segment,1,2,Image 1,1,1,100000003,510000002356,
6,,Segment,1,1,Image 1,1,1,100000003,510000002361,
10,,Segment,1,0,Image 1,1,1,100000003,510000002371,
4,,Segment,1,0,Image 1,1,1,100000037,510000002377,
10,,Segment,1,1,Image 1,1,1,100000037,510000002386,
8,,Segment,1,0,Image 1,1,1,100000003,510000002400,
2,,Segment,1,3,Image 1,2,1,100000003,510000008547,
2,,Segment,1,6,Image 1,2,1,100000003,510000008548,
2,,Segment,1,1,Image 1,1,1,100000003,510000008549,
2,,Segment,1,0,Image 1,1,1,100000038,510000009011,
2,,Segment,1,0,Image 1,1,1,100000038,510000009012,
2,,Segment,1,0,Image 1,1,1,100000038,510000009013,
2,,Segment,1,0,Image 1,1,1,100000053,510000009452,
6,,Segment,1,0,Image 1,1,1,,,
