
Segment Volume
 ==================== 
Segment Volume,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.477675,µm^3,Segment,1,2,1,100000000,510000001931,
0.178435,µm^3,Segment,0,1,1,100000000,510000001938,
0.218168,µm^3,Segment,2,3,1,100000037,510000001969,
0.178803,µm^3,Segment,1,2,1,100000037,510000001983,
0.110906,µm^3,Segment,0,1,1,100000037,510000001993,
0.135581,µm^3,Segment,2,3,1,100000003,510000002015,
0.45526,µm^3,Segment,1,2,1,100000000,510000002041,
0.103332,µm^3,Segment,4,3,1,100000003,510000002044,
0.188922,µm^3,Segment,4,3,1,100000037,510000002056,
0.178652,µm^3,Segment,3,3,1,100000037,510000002075,
0.166622,µm^3,Segment,1,2,1,100000037,510000002084,
0.589571,µm^3,Segment,0,1,1,100000037,510000002114,
0.207662,µm^3,Segment,3,1,1,100000037,510000002123,
0.310276,µm^3,Segment,1,1,1,100000037,510000002131,
0.150196,µm^3,Segment,2,2,1,100000037,510000002143,
0.554802,µm^3,Segment,1,2,1,100000003,510000002165,
0.393405,µm^3,Segment,0,1,1,100000003,510000002174,
0.476455,µm^3,Segment,0,1,1,100000003,510000002204,
0.319391,µm^3,Segment,1,2,1,100000003,510000002218,
0.267762,µm^3,Segment,0,1,1,100000003,510000002241,
0.1129,µm^3,Segment,2,2,1,100000037,510000002247,
0.182841,µm^3,Segment,1,2,1,100000037,510000002255,
0.390104,µm^3,Segment,0,1,1,100000037,510000002273,
0.18456,µm^3,Segment,2,2,1,100000000,510000002282,
0.21244,µm^3,Segment,1,1,1,100000000,510000002287,
0.191567,µm^3,Segment,2,1,1,100000000,510000002295,
0.150231,µm^3,Segment,1,1,1,100000003,510000002299,
0.225463,µm^3,Segment,1,1,1,100000037,510000002303,
0.188423,µm^3,Segment,2,2,1,100000003,510000002312,
0.253732,µm^3,Segment,1,2,1,100000037,510000002325,
0.0826221,µm^3,Segment,1,2,1,100000003,510000002334,
0.0856179,µm^3,Segment,0,1,1,100000000,510000002346,
0.099387,µm^3,Segment,1,2,1,100000037,510000002353,
0.0987142,µm^3,Segment,2,1,1,100000003,510000002356,
0.152381,µm^3,Segment,1,1,1,100000003,510000002361,
