
Filament Segment Length (sum)
 ==================== 
Filament Segment Length (sum),Unit,Category,Time,ID,
33.3942,µm,Filament,1,100000000,
66.0379,µm,Filament,1,100000003,
0,µm,Filament,1,100000005,
0,µm,Filament,1,100000006,
0,µm,Filament,1,100000007,
0,µm,Filament,1,100000008,
0,µm,Filament,1,100000009,
0,µm,Filament,1,100000010,
0,µm,Filament,1,100000011,
0,µm,Filament,1,100000012,
0,µm,Filament,1,100000013,
0,µm,Filament,1,100000014,
0,µm,Filament,1,100000015,
0,µm,Filament,1,100000016,
0,µm,Filament,1,100000017,
0,µm,Filament,1,100000018,
0,µm,Filament,1,100000019,
0,µm,Filament,1,100000020,
0,µm,Filament,1,100000021,
0,µm,Filament,1,100000022,
0,µm,Filament,1,100000023,
0,µm,Filament,1,100000024,
0,µm,Filament,1,100000025,
0,µm,Filament,1,100000026,
0,µm,Filament,1,100000027,
0,µm,Filament,1,100000028,
0,µm,Filament,1,100000029,
0,µm,Filament,1,100000030,
0,µm,Filament,1,100000031,
0,µm,Filament,1,100000032,
0,µm,Filament,1,100000033,
0,µm,Filament,1,100000034,
0,µm,Filament,1,100000035,
0,µm,Filament,1,100000036,
61.4343,µm,Filament,1,100000037,
32.6672,µm,Filament,1,100000038,
0,µm,Filament,1,100000039,
0,µm,Filament,1,100000040,
0,µm,Filament,1,100000041,
0,µm,Filament,1,100000042,
0,µm,Filament,1,100000043,
0,µm,Filament,1,100000044,
0,µm,Filament,1,100000045,
0,µm,Filament,1,100000046,
0,µm,Filament,1,100000047,
0,µm,Filament,1,100000048,
0,µm,Filament,1,100000049,
0,µm,Filament,1,100000050,
0,µm,Filament,1,100000051,
0,µm,Filament,1,100000052,
74.3463,µm,Filament,1,100000053,
16.2319,µm,Filament,1,100000054,
0,µm,Filament,1,100000055,
0,µm,Filament,1,100000056,
0,µm,Filament,1,100000057,
0,µm,Filament,1,100000058,
0,µm,Filament,1,100000059,
0,µm,Filament,1,100000060,
0,µm,Filament,1,100000061,
0,µm,Filament,1,100000062,
0,µm,Filament,1,100000063,
0,µm,Filament,1,100000064,
0,µm,Filament,1,100000065,
0,µm,Filament,1,100000066,
0,µm,Filament,1,100000067,
0,µm,Filament,1,100000068,
0,µm,Filament,1,100000069,
0,µm,Filament,1,100000070,
0,µm,Filament,1,100000071,
0,µm,Filament,1,100000072,
0,µm,Filament,1,100000073,
0,µm,Filament,1,100000074,
0,µm,Filament,1,100000075,
0,µm,Filament,1,100000076,
0,µm,Filament,1,100000077,
0,µm,Filament,1,100000078,
0,µm,Filament,1,100000079,
0,µm,Filament,1,100000080,
0,µm,Filament,1,100000081,
0,µm,Filament,1,100000082,
