
Spine Part Mean Diameter
 ==================== 
Spine Part Mean Diameter Ground,Spine Part Mean Diameter Head,Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.162331,0.162331,0.162331,µm,Spine,Spine Part Mean Diameter,,,1,100000039,610000002602,
0.310925,0.167639,0,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000002608,
0.276607,0.213836,0.173745,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000002614,
0.294719,0.162524,0.179884,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000002619,
0.285448,0.257346,0.266653,µm,Spine,Spine Part Mean Diameter,,,1,100000055,610000002621,
0.162331,0.162331,0,µm,Spine,Spine Part Mean Diameter,,,1,100000040,610000002627,
0.313544,0.257346,0.281304,µm,Spine,Spine Part Mean Diameter,,,1,100000056,610000002630,
0.316578,0.257346,0.266653,µm,Spine,Spine Part Mean Diameter,,,1,100000057,610000002647,
0.162331,0.209324,0,µm,Spine,Spine Part Mean Diameter,,,1,100000041,610000002653,
0.262108,0.257346,0,µm,Spine,Spine Part Mean Diameter,,,1,100000058,610000002656,
0.273414,0.228431,0.198687,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002666,
0.290824,0.162331,0.252803,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002673,
0.302803,0.182521,0,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000002677,
0.273414,0.21654,0.198687,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002684,
0.255824,0.162331,0,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000002688,
0.290824,0.168959,0.252803,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002695,
0.228341,0.324661,0,µm,Spine,Spine Part Mean Diameter,,,1,100000059,610000002707,
0.307329,0.185983,0.313684,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000002725,
0.192326,0.39992,0.207763,µm,Spine,Spine Part Mean Diameter,,,1,100000042,610000002728,
0.290824,0.180169,0.280201,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002755,
0.273414,0.201646,0.192768,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002760,
0.162331,0.324661,0,µm,Spine,Spine Part Mean Diameter,,,1,100000043,610000002776,
0.188245,0.443935,0.338383,µm,Spine,Spine Part Mean Diameter,,,1,100000005,610000002802,
0.250668,0.162331,0.171962,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000002832,
0.253845,0.162331,0.162331,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000002835,
0.272899,0.164938,0.168055,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002838,
0.301519,0.197841,0.243496,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002841,
0.377244,0.162331,0.162331,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002847,
0.23689,0.162331,0,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000002874,
0.277437,0.162331,0.162331,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000002877,
0.336502,0.162331,0.182622,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000002880,
0.318214,0.162331,0.223205,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002888,
0.273414,0.180464,0,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002892,
0.366404,0.209091,0,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000002905,
0.331586,0.174356,0.231471,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002908,
0.209151,0.162331,0.162331,µm,Spine,Spine Part Mean Diameter,,,1,100000006,610000002910,
0.332969,0.193719,0.234696,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000002918,
0.216127,0.162331,0.182277,µm,Spine,Spine Part Mean Diameter,,,1,100000007,610000002976,
0.342331,0.243496,0.243496,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000003011,
0.247873,0.187183,0,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000003016,
0.247572,0.162331,0,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003018,
0.258224,0.243496,0.162331,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003030,
0.162331,0.228269,0,µm,Spine,Spine Part Mean Diameter,,,1,100000062,610000003032,
0.462539,0.21159,0.568158,µm,Spine,Spine Part Mean Diameter,,,1,100000038,610000003054,
0.261314,0.272491,0.248695,µm,Spine,Spine Part Mean Diameter,,,1,100000063,610000003078,
0.333976,0.192469,0,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003093,
0.514127,0.245717,0.378425,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003098,
0.289006,0.167448,0.187345,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003140,
0.251805,0.182382,0,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003144,
0.183768,0.383017,0,µm,Spine,Spine Part Mean Diameter,,,1,100000008,610000003152,
0.371993,0.16945,0,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003159,
0.326525,0.277025,0,µm,Spine,Spine Part Mean Diameter,,,1,100000009,610000003163,
0.291998,0.162331,0.241226,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003184,
0.297746,0.202545,0.25162,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003190,
0.267096,0.229483,0,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003192,
0.551804,0.166248,0.31169,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003200,
0.548473,0.162331,0.220213,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000003218,
0.48333,0.187579,0.488525,µm,Spine,Spine Part Mean Diameter,,,1,100000054,610000003224,
0.411297,0.182622,0.283112,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003227,
0.391854,0.243496,0.555376,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003238,
0.297746,0.282176,0.252135,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003243,
0.395145,0.183527,0.303636,µm,Spine,Spine Part Mean Diameter,,,1,100000053,610000003249,
