
Spine Attachment Pt Distance
 ==================== 
Spine Attachment Pt Distance,Unit,Category,Depth,Level,Time,FilamentID,ID,
2.38638,µm,Spine,1,1,1,100000003,610000002645,
3.80411,µm,Spine,1,2,1,100000003,610000002686,
10.4878,µm,Spine,3,1,1,100000000,610000002705,
10.4878,µm,Spine,3,1,1,100000000,610000002716,
10.4878,µm,Spine,3,1,1,100000000,610000002741,
6.18731,µm,Spine,1,1,1,100000000,610000002749,
10.4878,µm,Spine,3,1,1,100000000,610000002767,
3.64486,µm,Spine,1,1,1,100000003,610000002774,
3.84789,µm,Spine,1,1,1,100000000,610000002783,
11.6435,µm,Spine,4,2,1,100000037,610000002792,
4.26152,µm,Spine,1,1,1,100000003,610000002800,
10.4878,µm,Spine,3,1,1,100000000,610000002815,
11.6435,µm,Spine,4,2,1,100000037,610000002822,
1.55006,µm,Spine,0,1,1,100000000,610000002828,
11.3528,µm,Spine,5,3,1,100000003,610000002850,
4.01304,µm,Spine,1,2,1,100000003,610000002854,
7.99297,µm,Spine,2,2,1,100000003,610000002856,
4.26152,µm,Spine,1,1,1,100000003,610000002865,
11.3528,µm,Spine,5,3,1,100000003,610000002872,
5.71681,µm,Spine,1,2,1,100000003,610000002885,
9.42445,µm,Spine,2,3,1,100000003,610000002895,
10.768,µm,Spine,3,1,1,100000000,610000002901,
2.2075,µm,Spine,1,1,1,100000003,610000002926,
11.2111,µm,Spine,5,2,1,100000003,610000002930,
11.3528,µm,Spine,5,3,1,100000003,610000002935,
10.4878,µm,Spine,3,1,1,100000000,610000002940,
5.68019,µm,Spine,1,1,1,100000003,610000002943,
7.38955,µm,Spine,1,2,1,100000003,610000002945,
4.7483,µm,Spine,1,1,1,100000000,610000002952,
4.26219,µm,Spine,1,2,1,100000000,610000002960,
6.74845,µm,Spine,1,2,1,100000000,610000002963,
1.95885,µm,Spine,1,2,1,100000003,610000002967,
3.47313,µm,Spine,2,2,1,100000037,610000002974,
4.26152,µm,Spine,1,1,1,100000003,610000002989,
4.26152,µm,Spine,1,1,1,100000003,610000002997,
3.2604,µm,Spine,1,1,1,100000003,610000003004,
3.30353,µm,Spine,2,2,1,100000037,610000003014,
6.04409,µm,Spine,1,1,1,100000000,610000003023,
5.27991,µm,Spine,1,1,1,100000000,610000003027,
0.611159,µm,Spine,0,1,1,100000003,610000003035,
5.44376,µm,Spine,1,1,1,100000000,610000003038,
4.26219,µm,Spine,1,2,1,100000000,610000003046,
5.95572,µm,Spine,1,1,1,100000003,610000003048,
4.66077,µm,Spine,1,1,1,100000003,610000003051,
9.24641,µm,Spine,2,3,1,100000003,610000003058,
4.26152,µm,Spine,1,1,1,100000003,610000003064,
8.2252,µm,Spine,2,3,1,100000003,610000003070,
5.28087,µm,Spine,1,2,1,100000000,610000003073,
11.6435,µm,Spine,4,2,1,100000037,610000003076,
3.64486,µm,Spine,1,1,1,100000003,610000003089,
8.17518,µm,Spine,2,2,1,100000003,610000003102,
2.2075,µm,Spine,1,1,1,100000003,610000003109,
4.7483,µm,Spine,1,1,1,100000000,610000003116,
4.26152,µm,Spine,1,1,1,100000003,610000003120,
0.216042,µm,Spine,0,1,1,100000003,610000003128,
12.6389,µm,Spine,4,2,1,100000037,610000003150,
5.55157,µm,Spine,1,2,1,100000003,610000003161,
1.51627,µm,Spine,0,1,1,100000003,610000003171,
4.86739,µm,Spine,3,2,1,100000037,610000003174,
3.50409,µm,Spine,0,1,1,100000037,610000003179,
2.08205,µm,Spine,0,1,1,100000000,610000003197,
5.17269,µm,Spine,3,1,1,100000037,610000003209,
14.821,µm,Spine,4,2,1,100000000,610000003215,
4.12289,µm,Spine,1,2,1,100000000,610000003231,
5.57283,µm,Spine,1,1,1,100000003,610000003235,
4.68202,µm,Spine,3,2,1,100000037,610000003260,
6.47954,µm,Spine,3,2,1,100000037,610000003268,
6.0985,µm,Spine,1,2,1,100000003,610000003272,
6.81219,µm,Spine,1,2,1,100000003,610000003274,
5.44376,µm,Spine,1,1,1,100000000,610000003279,
4.26152,µm,Spine,1,1,1,100000003,610000003284,
5.11042,µm,Spine,1,2,1,100000000,610000003311,
6.47954,µm,Spine,3,2,1,100000037,610000003317,
6.37937,µm,Spine,4,3,1,100000037,610000003321,
5.17269,µm,Spine,3,1,1,100000037,610000003327,
4.26152,µm,Spine,1,1,1,100000003,610000003333,
9.24641,µm,Spine,2,3,1,100000003,610000003335,
3.36189,µm,Spine,1,2,1,100000003,610000003356,
10.2759,µm,Spine,2,3,1,100000003,610000003365,
4.26152,µm,Spine,1,1,1,100000003,610000003372,
10.6719,µm,Spine,4,2,1,100000037,610000003375,
4.68202,µm,Spine,3,2,1,100000037,610000003379,
4.93322,µm,Spine,1,1,1,100000000,610000003390,
4.7483,µm,Spine,1,1,1,100000000,610000003397,
4.68202,µm,Spine,3,2,1,100000037,610000003406,
1.69416,µm,Spine,1,1,1,100000037,610000003410,
6.73988,µm,Spine,1,1,1,100000003,610000003418,
4.12289,µm,Spine,1,2,1,100000000,610000003426,
3.84052,µm,Spine,2,1,1,100000037,610000003429,
13.4592,µm,Spine,4,2,1,100000000,610000003433,
10.4878,µm,Spine,3,1,1,100000000,610000003447,
7.56483,µm,Spine,2,1,1,100000000,610000003452,
5.28087,µm,Spine,1,2,1,100000000,610000003456,
4.26219,µm,Spine,1,2,1,100000000,610000003462,
6.15453,µm,Spine,1,1,1,100000003,610000003468,
2.3544,µm,Spine,0,1,1,100000037,610000003474,
0.425247,µm,Spine,0,1,1,100000003,610000003479,
11.7796,µm,Spine,4,2,1,100000000,610000003481,
6.47954,µm,Spine,3,2,1,100000037,610000003486,
2.4445,µm,Spine,1,1,1,100000003,610000003494,
1.4715,µm,Spine,1,1,1,100000037,610000003502,
0.442442,µm,Spine,0,1,1,100000000,610000003505,
8.41287,µm,Spine,3,2,1,100000037,610000003507,
5.11063,µm,Spine,1,2,1,100000003,610000003509,
1.77831,µm,Spine,2,2,1,100000000,610000003513,
5.17269,µm,Spine,3,1,1,100000037,610000003524,
12.6389,µm,Spine,4,2,1,100000037,610000003531,
5.80609,µm,Spine,1,2,1,100000003,610000003542,
8.29848,µm,Spine,2,3,1,100000003,610000003544,
4.80463,µm,Spine,1,1,1,100000003,610000003547,
12.6389,µm,Spine,4,2,1,100000037,610000003563,
4.77444,µm,Spine,1,2,1,100000003,610000003566,
11.3528,µm,Spine,5,3,1,100000003,610000003571,
3.65994,µm,Spine,2,1,1,100000037,610000003573,
2.03043,µm,Spine,1,2,1,100000003,610000003576,
6.6069,µm,Spine,4,2,1,100000037,610000003583,
3.56092,µm,Spine,1,1,1,100000003,610000003590,
2.71007,µm,Spine,0,1,1,100000003,610000003593,
5.11042,µm,Spine,1,2,1,100000000,610000003598,
6.73282,µm,Spine,2,2,1,100000000,610000003600,
1.14146,µm,Spine,0,1,1,100000000,610000003603,
2.2075,µm,Spine,1,1,1,100000003,610000003608,
2.91501,µm,Spine,2,3,1,100000037,610000003610,
