
Soma Number of Disconnected Components
 ==================== 
Soma Number of Disconnected Components,Unit,Category,Time,FilamentID,ID,
1,,Soma,1,100000000,800000000,
1,,Soma,1,100000003,800002761,
1,,Soma,1,100000037,800004348,
