
Soma Ellipsoid Axis B Y
 ==================== 
Soma Ellipsoid Axis B Y,Unit,Category,Collection,Time,FilamentID,ID,
-0.625377,µm,Soma,Soma Ellipsoid Axis B,1,100000000,800000000,
-0.677556,µm,Soma,Soma Ellipsoid Axis B,1,100000003,800002761,
0.34415,µm,Soma,Soma Ellipsoid Axis B,1,100000037,800004348,
