
Spine Part Min Diameter Ground
 ==================== 
Spine Part Min Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.162331,µm,Spine,Spine Part Min Diameter,,,1,100000039,610000002602,
0.209787,µm,Spine,Spine Part Min Diameter,,,1,100000054,610000002608,
0.179884,µm,Spine,Spine Part Min Diameter,,,1,100000054,610000002614,
0.183333,µm,Spine,Spine Part Min Diameter,,,1,100000054,610000002619,
0.256929,µm,Spine,Spine Part Min Diameter,,,1,100000055,610000002621,
0.162331,µm,Spine,Spine Part Min Diameter,,,1,100000040,610000002627,
0.248374,µm,Spine,Spine Part Min Diameter,,,1,100000056,610000002630,
0.247301,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002645,
0.262742,µm,Spine,Spine Part Min Diameter,,,1,100000057,610000002647,
0.162331,µm,Spine,Spine Part Min Diameter,,,1,100000041,610000002653,
0.256929,µm,Spine,Spine Part Min Diameter,,,1,100000058,610000002656,
0.224607,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002666,
0.243496,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002673,
0.183333,µm,Spine,Spine Part Min Diameter,,,1,100000054,610000002677,
0.224607,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002684,
0.162331,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000002686,
0.162331,µm,Spine,Spine Part Min Diameter,,,1,100000054,610000002688,
0.243496,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002695,
0.298389,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000002705,
0.19003,µm,Spine,Spine Part Min Diameter,,,1,100000059,610000002707,
0.298389,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000002716,
0.2685,µm,Spine,Spine Part Min Diameter,,,1,100000053,610000002725,
0.176075,µm,Spine,Spine Part Min Diameter,,,1,100000042,610000002728,
0.298389,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000002741,
0.185378,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002749,
0.243496,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002755,
0.224607,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002760,
0.307729,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000002767,
0.222974,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002774,
0.162331,µm,Spine,Spine Part Min Diameter,,,1,100000043,610000002776,
0.217926,µm,Spine,Spine Part Min Diameter,1,1,1,100000000,610000002783,
0.267357,µm,Spine,Spine Part Min Diameter,4,2,1,100000037,610000002792,
0.256269,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002800,
0.181558,µm,Spine,Spine Part Min Diameter,,,1,100000005,610000002802,
0.298389,µm,Spine,Spine Part Min Diameter,3,1,1,100000000,610000002815,
0.300801,µm,Spine,Spine Part Min Diameter,4,2,1,100000037,610000002822,
0.21046,µm,Spine,Spine Part Min Diameter,0,1,1,100000000,610000002828,
0.22333,µm,Spine,Spine Part Min Diameter,,,1,100000053,610000002832,
0.162331,µm,Spine,Spine Part Min Diameter,,,1,100000053,610000002835,
0.192286,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002838,
0.243496,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002841,
0.277855,µm,Spine,Spine Part Min Diameter,,,1,100000038,610000002847,
0.162331,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000002850,
0.162331,µm,Spine,Spine Part Min Diameter,1,2,1,100000003,610000002854,
0.162331,µm,Spine,Spine Part Min Diameter,2,2,1,100000003,610000002856,
0.256269,µm,Spine,Spine Part Min Diameter,1,1,1,100000003,610000002865,
0.295017,µm,Spine,Spine Part Min Diameter,5,3,1,100000003,610000002872,
0.162331,µm,Spine,Spine Part Min Diameter,,,1,100000053,610000002874,
