
Filament Time Index
 ==================== 
Filament Time Index,Unit,Category,Time,ID,
1,,Filament,1,100000000,
1,,Filament,1,100000003,
1,,Filament,1,100000005,
1,,Filament,1,100000006,
1,,Filament,1,100000007,
1,,Filament,1,100000008,
1,,Filament,1,100000009,
1,,Filament,1,100000010,
1,,Filament,1,100000011,
1,,Filament,1,100000012,
1,,Filament,1,100000013,
1,,Filament,1,100000014,
1,,Filament,1,100000015,
1,,Filament,1,100000016,
1,,Filament,1,100000017,
1,,Filament,1,100000018,
1,,Filament,1,100000019,
1,,Filament,1,100000020,
1,,Filament,1,100000021,
1,,Filament,1,100000022,
1,,Filament,1,100000023,
1,,Filament,1,100000024,
1,,Filament,1,100000025,
1,,Filament,1,100000026,
1,,Filament,1,100000027,
1,,Filament,1,100000028,
1,,Filament,1,100000029,
1,,Filament,1,100000030,
1,,Filament,1,100000031,
1,,Filament,1,100000032,
1,,Filament,1,100000033,
1,,Filament,1,100000034,
1,,Filament,1,100000035,
1,,Filament,1,100000036,
1,,Filament,1,100000037,
1,,Filament,1,100000038,
1,,Filament,1,100000039,
1,,Filament,1,100000040,
1,,Filament,1,100000041,
1,,Filament,1,100000042,
1,,Filament,1,100000043,
1,,Filament,1,100000044,
1,,Filament,1,100000045,
1,,Filament,1,100000046,
1,,Filament,1,100000047,
1,,Filament,1,100000048,
1,,Filament,1,100000049,
1,,Filament,1,100000050,
1,,Filament,1,100000051,
1,,Filament,1,100000052,
1,,Filament,1,100000053,
1,,Filament,1,100000054,
1,,Filament,1,100000055,
1,,Filament,1,100000056,
1,,Filament,1,100000057,
1,,Filament,1,100000058,
1,,Filament,1,100000059,
1,,Filament,1,100000060,
1,,Filament,1,100000061,
1,,Filament,1,100000062,
1,,Filament,1,100000063,
1,,Filament,1,100000064,
1,,Filament,1,100000065,
1,,Filament,1,100000066,
1,,Filament,1,100000067,
1,,Filament,1,100000068,
1,,Filament,1,100000069,
1,,Filament,1,100000070,
1,,Filament,1,100000071,
1,,Filament,1,100000072,
1,,Filament,1,100000073,
1,,Filament,1,100000074,
1,,Filament,1,100000075,
1,,Filament,1,100000076,
1,,Filament,1,100000077,
1,,Filament,1,100000078,
1,,Filament,1,100000079,
1,,Filament,1,100000080,
1,,Filament,1,100000081,
1,,Filament,1,100000082,
