
Spine Part Volume Neck
 ==================== 
Spine Part Volume Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.00377929,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003038,
0.00809527,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003046,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003048,
0.00822689,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003051,
0.0180325,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003054,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003058,
0.0160156,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003064,
0.0146506,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003070,
0.0125455,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003073,
0.00644035,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003076,
0.0193148,µm^3,Spine,Spine Part Volume,,,1,100000063,610000003078,
0.00298925,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003089,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003093,
0.00938795,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003098,
0,µm^3,Spine,Spine Part Volume,2,2,1,100000003,610000003102,
0.0151099,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003109,
0.0225743,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003116,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003120,
0.0386235,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003128,
0.125185,µm^3,Spine,Spine Part Volume,1,2,1,100000037,610000003137,
0.00272353,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003140,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003144,
0.0188255,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003150,
0,µm^3,Spine,Spine Part Volume,,,1,100000008,610000003152,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003159,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003161,
0,µm^3,Spine,Spine Part Volume,,,1,100000009,610000003163,
0.0102891,µm^3,Spine,Spine Part Volume,0,1,1,100000003,610000003171,
0.012741,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003174,
0.00307635,µm^3,Spine,Spine Part Volume,0,1,1,100000037,610000003179,
0.00570663,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003184,
0.0191921,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003190,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003192,
0,µm^3,Spine,Spine Part Volume,0,1,1,100000000,610000003197,
0.00549242,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003200,
0.0220292,µm^3,Spine,Spine Part Volume,3,1,1,100000037,610000003209,
0.00975512,µm^3,Spine,Spine Part Volume,4,2,1,100000000,610000003215,
0.00333327,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003218,
0.0285616,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003224,
0.0046784,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003227,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003231,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003235,
0.020998,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003238,
0.00824864,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003243,
0.0109208,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003249,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003253,
0.023875,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003260,
0.0127812,µm^3,Spine,Spine Part Volume,,,1,100000010,610000003262,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003268,
0.00447048,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003272,
0,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003274,
0.00633281,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003277,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003279,
0.00487743,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003284,
0,µm^3,Spine,Spine Part Volume,,,1,100000064,610000003286,
0.0356674,µm^3,Spine,Spine Part Volume,,,1,100000054,610000003293,
0,µm^3,Spine,Spine Part Volume,,,1,100000011,610000003295,
0.0102438,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003299,
0.0149354,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003304,
0,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003308,
0.00374089,µm^3,Spine,Spine Part Volume,1,2,1,100000000,610000003311,
0.0194206,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003317,
0,µm^3,Spine,Spine Part Volume,4,3,1,100000037,610000003321,
0.0244094,µm^3,Spine,Spine Part Volume,3,1,1,100000037,610000003327,
0.0186045,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003333,
0,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003335,
0,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003337,
0.0100715,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003342,
0.00299894,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003345,
0.0137499,µm^3,Spine,Spine Part Volume,,,1,100000038,610000003351,
0.00182286,µm^3,Spine,Spine Part Volume,1,2,1,100000003,610000003356,
0,µm^3,Spine,Spine Part Volume,,,1,100000065,610000003358,
0.00974503,µm^3,Spine,Spine Part Volume,2,3,1,100000003,610000003365,
0,µm^3,Spine,Spine Part Volume,,,1,100000012,610000003367,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000003,610000003372,
0.00283122,µm^3,Spine,Spine Part Volume,4,2,1,100000037,610000003375,
0,µm^3,Spine,Spine Part Volume,3,2,1,100000037,610000003379,
0.013667,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003382,
0.0035213,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003385,
0.00506477,µm^3,Spine,Spine Part Volume,,,1,100000053,610000003388,
0,µm^3,Spine,Spine Part Volume,1,1,1,100000000,610000003390,
