
Filament Position Y
 ==================== 
Filament Position Y,Unit,Category,Collection,Time,ID,
15745.3,µm,Filament,Filament Position,1,100000000,
15769.2,µm,Filament,Filament Position,1,100000003,
15775,µm,Filament,Filament Position,1,100000005,
15775.1,µm,Filament,Filament Position,1,100000006,
15775.1,µm,Filament,Filament Position,1,100000007,
15774.5,µm,Filament,Filament Position,1,100000008,
15773.5,µm,Filament,Filament Position,1,100000009,
15775,µm,Filament,Filament Position,1,100000010,
15774.7,µm,Filament,Filament Position,1,100000011,
15774.8,µm,Filament,Filament Position,1,100000012,
15774.5,µm,Filament,Filament Position,1,100000013,
15775,µm,Filament,Filament Position,1,100000014,
15774.9,µm,Filament,Filament Position,1,100000015,
15774.6,µm,Filament,Filament Position,1,100000016,
15768.8,µm,Filament,Filament Position,1,100000017,
15775,µm,Filament,Filament Position,1,100000018,
15774,µm,Filament,Filament Position,1,100000019,
15773.6,µm,Filament,Filament Position,1,100000020,
15768.9,µm,Filament,Filament Position,1,100000021,
15773.4,µm,Filament,Filament Position,1,100000022,
15774.8,µm,Filament,Filament Position,1,100000023,
15774.6,µm,Filament,Filament Position,1,100000024,
15774.9,µm,Filament,Filament Position,1,100000025,
15774.3,µm,Filament,Filament Position,1,100000026,
15774.7,µm,Filament,Filament Position,1,100000027,
15774.3,µm,Filament,Filament Position,1,100000028,
15774,µm,Filament,Filament Position,1,100000029,
15774.5,µm,Filament,Filament Position,1,100000030,
15774.6,µm,Filament,Filament Position,1,100000031,
15774.8,µm,Filament,Filament Position,1,100000032,
15773.7,µm,Filament,Filament Position,1,100000033,
15773.7,µm,Filament,Filament Position,1,100000034,
15773.5,µm,Filament,Filament Position,1,100000035,
15773.8,µm,Filament,Filament Position,1,100000036,
15781.4,µm,Filament,Filament Position,1,100000037,
15787.8,µm,Filament,Filament Position,1,100000038,
15785.9,µm,Filament,Filament Position,1,100000039,
15786,µm,Filament,Filament Position,1,100000040,
15786.3,µm,Filament,Filament Position,1,100000041,
15785.7,µm,Filament,Filament Position,1,100000042,
15785.8,µm,Filament,Filament Position,1,100000043,
15787,µm,Filament,Filament Position,1,100000044,
15786.3,µm,Filament,Filament Position,1,100000045,
15786.1,µm,Filament,Filament Position,1,100000046,
15785.7,µm,Filament,Filament Position,1,100000047,
15786.3,µm,Filament,Filament Position,1,100000048,
15785.5,µm,Filament,Filament Position,1,100000049,
15785.7,µm,Filament,Filament Position,1,100000050,
15786.1,µm,Filament,Filament Position,1,100000051,
15785.9,µm,Filament,Filament Position,1,100000052,
15758.6,µm,Filament,Filament Position,1,100000053,
15774.5,µm,Filament,Filament Position,1,100000054,
15771.2,µm,Filament,Filament Position,1,100000055,
15771.1,µm,Filament,Filament Position,1,100000056,
15771.2,µm,Filament,Filament Position,1,100000057,
15771.3,µm,Filament,Filament Position,1,100000058,
15771.2,µm,Filament,Filament Position,1,100000059,
15771.2,µm,Filament,Filament Position,1,100000060,
15768.2,µm,Filament,Filament Position,1,100000061,
15769.7,µm,Filament,Filament Position,1,100000062,
15771.5,µm,Filament,Filament Position,1,100000063,
15764.6,µm,Filament,Filament Position,1,100000064,
15766.5,µm,Filament,Filament Position,1,100000065,
15765.6,µm,Filament,Filament Position,1,100000066,
15771.5,µm,Filament,Filament Position,1,100000067,
15771.4,µm,Filament,Filament Position,1,100000068,
15771.4,µm,Filament,Filament Position,1,100000069,
15769.5,µm,Filament,Filament Position,1,100000070,
15769.6,µm,Filament,Filament Position,1,100000071,
15764.6,µm,Filament,Filament Position,1,100000072,
15771.5,µm,Filament,Filament Position,1,100000073,
15769.4,µm,Filament,Filament Position,1,100000074,
15771.5,µm,Filament,Filament Position,1,100000075,
15770.3,µm,Filament,Filament Position,1,100000076,
15764.3,µm,Filament,Filament Position,1,100000077,
15764.3,µm,Filament,Filament Position,1,100000078,
15772.7,µm,Filament,Filament Position,1,100000079,
15771.6,µm,Filament,Filament Position,1,100000080,
15764.7,µm,Filament,Filament Position,1,100000081,
15764.5,µm,Filament,Filament Position,1,100000082,
