
Soma BoundingBoxOO Length B
 ==================== 
Soma BoundingBoxOO Length B,Unit,Category,Collection,Time,FilamentID,ID,
3.04785,µm,Soma,Soma BoundingBoxOO Length,1,100000000,800000000,
1.9834,µm,Soma,Soma BoundingBoxOO Length,1,100000001,800000001,
1.92188,µm,Soma,Soma BoundingBoxOO Length,1,100000002,800000002,
