
Spine Position X
 ==================== 
Spine Position X,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
-318.836,µm,Spine,Spine Position,9,3,1,100000000,610000002852,
-314.726,µm,Spine,Spine Position,4,1,1,100000000,610000002855,
-329.231,µm,Spine,Spine Position,5,4,1,100000000,610000002857,
-298.325,µm,Spine,Spine Position,2,2,1,100000002,610000002859,
-294.299,µm,Spine,Spine Position,0,1,1,100000001,610000002863,
-326.344,µm,Spine,Spine Position,3,2,1,100000000,610000002867,
-308.998,µm,Spine,Spine Position,8,4,1,100000000,610000002869,
-291.801,µm,Spine,Spine Position,4,3,1,100000001,610000002871,
-325.337,µm,Spine,Spine Position,5,4,1,100000000,610000002874,
-317.585,µm,Spine,Spine Position,2,1,1,100000000,610000002878,
-298.204,µm,Spine,Spine Position,2,2,1,100000002,610000002881,
-291.827,µm,Spine,Spine Position,4,3,1,100000001,610000002883,
-321.686,µm,Spine,Spine Position,0,1,1,100000000,610000002888,
-320.094,µm,Spine,Spine Position,0,1,1,100000000,610000002892,
-328.133,µm,Spine,Spine Position,1,2,1,100000000,610000002894,
-321.562,µm,Spine,Spine Position,0,1,1,100000000,610000002899,
-320.774,µm,Spine,Spine Position,0,1,1,100000000,610000002903,
-323.71,µm,Spine,Spine Position,2,2,1,100000000,610000002907,
-320.111,µm,Spine,Spine Position,0,1,1,100000000,610000002910,
-322.006,µm,Spine,Spine Position,0,1,1,100000000,610000002914,
-321.354,µm,Spine,Spine Position,0,1,1,100000000,610000002920,
-321.891,µm,Spine,Spine Position,1,1,1,100000000,610000002924,
-320.333,µm,Spine,Spine Position,0,1,1,100000000,610000002926,
-321.438,µm,Spine,Spine Position,0,1,1,100000000,610000002929,
-292.001,µm,Spine,Spine Position,3,1,1,100000001,610000002932,
-299.416,µm,Spine,Spine Position,0,1,1,100000002,610000002935,
-321.828,µm,Spine,Spine Position,0,1,1,100000000,610000002937,
-325.403,µm,Spine,Spine Position,2,2,1,100000000,610000002940,
-322.152,µm,Spine,Spine Position,0,1,1,100000000,610000002942,
-314.457,µm,Spine,Spine Position,6,1,1,100000000,610000002945,
-291.857,µm,Spine,Spine Position,3,1,1,100000001,610000002947,
-321.307,µm,Spine,Spine Position,0,1,1,100000000,610000002949,
-298.106,µm,Spine,Spine Position,0,1,1,100000002,610000002951,
-319.812,µm,Spine,Spine Position,0,1,1,100000000,610000002953,
-292.966,µm,Spine,Spine Position,1,1,1,100000001,610000002957,
-321.893,µm,Spine,Spine Position,0,1,1,100000000,610000002959,
-321.513,µm,Spine,Spine Position,0,1,1,100000000,610000002962,
-321.372,µm,Spine,Spine Position,0,1,1,100000000,610000002965,
-322.77,µm,Spine,Spine Position,0,1,1,100000000,610000002968,
-322.283,µm,Spine,Spine Position,0,1,1,100000000,610000002970,
-321.243,µm,Spine,Spine Position,0,1,1,100000000,610000002974,
-321.828,µm,Spine,Spine Position,0,1,1,100000000,610000002976,
-321.763,µm,Spine,Spine Position,0,1,1,100000000,610000002980,
-320.592,µm,Spine,Spine Position,0,1,1,100000000,610000002988,
-309.269,µm,Spine,Spine Position,8,3,1,100000000,610000003008,
-313.732,µm,Spine,Spine Position,5,2,1,100000000,610000003009,
-312.802,µm,Spine,Spine Position,7,2,1,100000000,610000003010,
-313.049,µm,Spine,Spine Position,7,2,1,100000000,610000003011,
-314.4,µm,Spine,Spine Position,6,1,1,100000000,610000003012,
-315.737,µm,Spine,Spine Position,6,2,1,100000000,610000003013,
-314.908,µm,Spine,Spine Position,4,1,1,100000000,610000003014,
-315.987,µm,Spine,Spine Position,5,4,1,100000000,610000003015,
-316.695,µm,Spine,Spine Position,2,2,1,100000000,610000003016,
-317.135,µm,Spine,Spine Position,2,2,1,100000000,610000003017,
-317.284,µm,Spine,Spine Position,2,2,1,100000000,610000003018,
-321.494,µm,Spine,Spine Position,4,2,1,100000000,610000003019,
-329.91,µm,Spine,Spine Position,9,6,1,100000000,610000003025,
-329.325,µm,Spine,Spine Position,6,4,1,100000000,610000003026,
-321.49,µm,Spine,Spine Position,0,1,1,100000000,610000003027,
-322.721,µm,Spine,Spine Position,0,1,1,100000000,610000003033,
-318.804,µm,Spine,Spine Position,9,3,1,100000000,610000003035,
-318.601,µm,Spine,Spine Position,9,3,1,100000000,610000003036,
-323.935,µm,Spine,Spine Position,3,2,1,100000000,610000003037,
-327.693,µm,Spine,Spine Position,1,2,1,100000000,610000003038,
-300.548,µm,Spine,Spine Position,2,1,1,100000001,610000003043,
-298.693,µm,Spine,Spine Position,1,1,1,100000001,610000003044,
-291.334,µm,Spine,Spine Position,4,2,1,100000001,610000003045,
-292.766,µm,Spine,Spine Position,1,2,1,100000001,610000003046,
-293.169,µm,Spine,Spine Position,0,1,1,100000001,610000003047,
-296.124,µm,Spine,Spine Position,1,1,1,100000001,610000003050,
-302.149,µm,Spine,Spine Position,3,2,1,100000002,610000003051,
-299.694,µm,Spine,Spine Position,2,2,1,100000002,610000003052,
-298.266,µm,Spine,Spine Position,2,2,1,100000002,610000003053,
-300.59,µm,Spine,Spine Position,2,2,1,100000002,610000003054,
-300.734,µm,Spine,Spine Position,1,2,1,100000002,610000003055,
