
Spine Attachment Pt Time
 ==================== 
Spine Attachment Pt Time,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,s,Spine,9,3,1,100000000,610000002852,
0,s,Spine,4,1,1,100000000,610000002855,
0,s,Spine,5,4,1,100000000,610000002857,
0,s,Spine,0,1,1,100000001,610000002863,
0,s,Spine,3,2,1,100000000,610000002867,
0,s,Spine,8,4,1,100000000,610000002869,
0,s,Spine,4,3,1,100000001,610000002871,
0,s,Spine,5,4,1,100000000,610000002874,
0,s,Spine,2,1,1,100000000,610000002878,
0,s,Spine,2,2,1,100000002,610000002881,
0,s,Spine,4,3,1,100000001,610000002883,
0,s,Spine,1,2,1,100000000,610000002894,
0,s,Spine,2,2,1,100000000,610000002907,
0,s,Spine,1,1,1,100000000,610000002924,
0,s,Spine,3,1,1,100000001,610000002932,
0,s,Spine,0,1,1,100000002,610000002935,
0,s,Spine,2,2,1,100000000,610000002940,
0,s,Spine,3,1,1,100000001,610000002947,
0,s,Spine,0,1,1,100000002,610000002951,
0,s,Spine,1,1,1,100000001,610000002957,
0,s,Spine,2,2,1,,610000003056,
0,s,Spine,1,1,1,,610000003056,
0,s,Spine,2,2,1,,610000003057,
0,s,Spine,2,1,1,,610000003057,
0,s,Spine,3,2,1,,610000003058,
0,s,Spine,2,2,1,,610000003058,
0,s,Spine,0,1,1,,610000003058,
0,s,Spine,5,4,1,,610000003059,
0,s,Spine,1,2,1,,610000003059,
0,s,Spine,2,2,1,,610000003060,
0,s,Spine,7,2,1,,610000003060,
0,s,Spine,4,2,1,,610000003060,
0,s,Spine,7,2,1,,610000003061,
0,s,Spine,1,1,1,,610000003061,
0,s,Spine,6,1,1,,610000003062,
0,s,Spine,6,2,1,,610000003063,
0,s,Spine,4,1,1,,610000003064,
0,s,Spine,5,2,1,,610000003065,
0,s,Spine,0,1,1,,610000003067,
0,s,Spine,6,4,1,,610000003068,
0,s,Spine,9,6,1,,610000003069,
0,s,Spine,1,2,1,,610000003070,
0,s,Spine,3,2,1,,610000003071,
0,s,Spine,9,3,1,,610000003072,
0,s,Spine,9,3,1,,610000003073,
0,s,Spine,4,2,1,,610000003074,
0,s,Spine,0,1,1,,610000003075,
