
Soma Intensity Sum Ch=2 Img=1
 ==================== 
Soma Intensity Sum,Unit,Category,Channel,Image,Time,FilamentID,ID,
1.61913e+06,,Soma,2,Image 1,1,100000000,800000000,
405032,,Soma,2,Image 1,1,100000001,800000001,
160766,,Soma,2,Image 1,1,100000002,800000002,
