
Segment Branching Angle
 ==================== 
Segment Branching Angle,Unit,Category,Depth,Level,Time,FilamentID,ID,
21.5334,°,Segment,3,2,1,100000000,510000002200,
7.26399,°,Segment,2,1,1,100000000,510000002206,
0,°,Segment,0,1,1,100000000,510000002227,
8.64722,°,Segment,2,2,1,100000000,510000002234,
72.1263,°,Segment,1,2,1,100000000,510000002271,
96.6731,°,Segment,2,3,1,100000000,510000002278,
77.7361,°,Segment,5,2,1,100000000,510000002283,
8.27868,°,Segment,1,1,1,100000001,510000002318,
0,°,Segment,0,1,1,100000001,510000002353,
47.2499,°,Segment,4,2,1,100000000,510000002365,
69.2195,°,Segment,2,1,1,100000001,510000002374,
40.7683,°,Segment,4,2,1,100000000,510000002384,
52.6386,°,Segment,3,1,1,100000000,510000002396,
0,°,Segment,0,1,1,100000000,510000002427,
44.7161,°,Segment,4,1,1,100000000,510000002458,
12.4614,°,Segment,3,3,1,100000000,510000002466,
92.5096,°,Segment,2,2,1,100000000,510000002475,
40.4029,°,Segment,1,2,1,100000000,510000002491,
106.278,°,Segment,3,2,1,100000000,510000002493,
28.8475,°,Segment,2,3,1,100000001,510000002507,
63.6927,°,Segment,1,2,1,100000001,510000002525,
85.0531,°,Segment,4,2,1,100000001,510000002534,
71.5628,°,Segment,2,2,1,100000001,510000002539,
62.3296,°,Segment,3,1,1,100000001,510000002544,
83.9554,°,Segment,1,2,1,100000001,510000002553,
9.12417,°,Segment,1,1,1,100000000,510000002556,
0,°,Segment,0,1,1,100000000,510000002571,
39.5523,°,Segment,2,2,1,100000001,510000002578,
87.8442,°,Segment,1,2,1,100000000,510000002582,
79.9291,°,Segment,1,2,1,100000001,510000002585,
6.35647,°,Segment,6,3,1,100000000,510000002632,
89.0912,°,Segment,5,2,1,100000000,510000002634,
14.952,°,Segment,1,1,1,100000000,510000002636,
9.90117,°,Segment,6,5,1,100000000,510000002638,
57.0382,°,Segment,9,5,1,100000000,510000002639,
48.7753,°,Segment,10,5,1,100000000,510000002640,
24.7854,°,Segment,1,1,1,100000000,510000002642,
69.7597,°,Segment,2,1,1,100000000,510000002643,
62.0234,°,Segment,3,3,1,100000001,510000002645,
