
Spine Part Mean Diameter Neck
 ==================== 
Spine Part Mean Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.264775,µm,Spine,Spine Part Mean Diameter,9,3,1,100000000,610000002852,
0.192969,µm,Spine,Spine Part Mean Diameter,4,1,1,100000000,610000002855,
0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000002857,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002859,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002863,
0,µm,Spine,Spine Part Mean Diameter,3,2,1,100000000,610000002867,
0,µm,Spine,Spine Part Mean Diameter,8,4,1,100000000,610000002869,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000002871,
0,µm,Spine,Spine Part Mean Diameter,5,4,1,100000000,610000002874,
0,µm,Spine,Spine Part Mean Diameter,2,1,1,100000000,610000002878,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000002,610000002881,
0,µm,Spine,Spine Part Mean Diameter,4,3,1,100000001,610000002883,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002888,
0.383081,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002892,
0,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000002894,
0.922927,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002899,
0.555295,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002903,
0,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002907,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002910,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002914,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002920,
0.322899,µm,Spine,Spine Part Mean Diameter,1,1,1,100000000,610000002924,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002926,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002929,
0.349055,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000002932,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000002,610000002935,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002937,
0.296981,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002940,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002942,
0,µm,Spine,Spine Part Mean Diameter,6,1,1,100000000,610000002945,
0,µm,Spine,Spine Part Mean Diameter,3,1,1,100000001,610000002947,
0,µm,Spine,Spine Part Mean Diameter,0,1,1,100000000,610000002949,
