
Spine Center Number of Voxel Ch=5 Img=1
 ==================== 
Spine Center Number of Voxel,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
3,,Spine,5,0,Image 1,1,1,100000001,610000003848,
3,,Spine,5,0,Image 1,1,1,100000001,610000003852,
2,,Spine,5,0,Image 1,1,1,100000000,610000003854,
3,,Spine,5,2,Image 1,3,1,100000000,610000003856,
3,,Spine,5,0,Image 1,1,1,100000000,610000003860,
3,,Spine,5,5,Image 1,2,1,100000001,610000003862,
4,,Spine,5,0,Image 1,1,1,100000000,610000003866,
4,,Spine,5,3,Image 1,2,1,100000001,610000003869,
4,,Spine,5,0,Image 1,1,1,100000000,610000003873,
3,,Spine,5,1,Image 1,2,1,100000001,610000003876,
3,,Spine,5,0,Image 1,1,1,100000000,610000003879,
3,,Spine,5,0,Image 1,1,1,100000001,610000003883,
2,,Spine,5,0,Image 1,1,1,100000000,610000003886,
3,,Spine,5,4,Image 1,1,1,100000000,610000003888,
3,,Spine,5,6,Image 1,3,1,100000001,610000003890,
3,,Spine,5,0,Image 1,1,1,100000000,610000003894,
3,,Spine,5,4,Image 1,2,1,100000001,610000003898,
2,,Spine,5,0,Image 1,1,1,100000000,610000003900,
3,,Spine,5,0,Image 1,1,1,100000000,610000003903,
4,,Spine,5,0,Image 1,1,1,100000000,610000003909,
3,,Spine,5,0,Image 1,1,1,100000001,610000003912,
3,,Spine,5,4,Image 1,2,1,100000000,610000003914,
3,,Spine,5,4,Image 1,3,1,100000000,610000003919,
2,,Spine,5,0,Image 1,1,1,100000000,610000003922,
2,,Spine,5,2,Image 1,2,1,100000001,610000003928,
3,,Spine,5,2,Image 1,1,1,100000000,610000003930,
3,,Spine,5,4,Image 1,2,1,100000000,610000003932,
3,,Spine,5,3,Image 1,2,1,100000000,610000003934,
2,,Spine,5,0,Image 1,1,1,100000000,610000003936,
3,,Spine,5,3,Image 1,3,1,100000001,610000003938,
3,,Spine,5,3,Image 1,3,1,100000001,610000003940,
2,,Spine,5,0,Image 1,1,1,100000000,610000003942,
3,,Spine,5,1,Image 1,1,1,100000001,610000003944,
2,,Spine,5,0,Image 1,1,1,100000000,610000003953,
3,,Spine,5,1,Image 1,2,1,100000001,610000003956,
2,,Spine,5,0,Image 1,1,1,100000000,610000003965,
2,,Spine,5,0,Image 1,1,1,100000000,610000003967,
2,,Spine,5,0,Image 1,1,1,100000000,610000003978,
3,,Spine,5,2,Image 1,2,1,100000000,610000003985,
2,,Spine,5,6,Image 1,5,1,100000000,610000003988,
2,,Spine,5,6,Image 1,5,1,100000000,610000003989,
2,,Spine,5,3,Image 1,3,1,100000000,610000003990,
2,,Spine,5,2,Image 1,3,1,100000000,610000003991,
2,,Spine,5,2,Image 1,3,1,100000000,610000003992,
2,,Spine,5,2,Image 1,3,1,100000000,610000003993,
2,,Spine,5,2,Image 1,3,1,100000000,610000003994,
2,,Spine,5,2,Image 1,2,1,100000000,610000003995,
2,,Spine,5,1,Image 1,2,1,100000000,610000003996,
2,,Spine,5,5,Image 1,2,1,100000000,610000003997,
2,,Spine,5,5,Image 1,2,1,100000000,610000003998,
2,,Spine,5,5,Image 1,2,1,100000000,610000003999,
2,,Spine,5,4,Image 1,2,1,100000000,610000004000,
2,,Spine,5,2,Image 1,2,1,100000000,610000004001,
2,,Spine,5,0,Image 1,1,1,100000000,610000004003,
2,,Spine,5,0,Image 1,1,1,100000000,610000004004,
2,,Spine,5,6,Image 1,3,1,100000000,610000004005,
2,,Spine,5,4,Image 1,1,1,100000000,610000004006,
2,,Spine,5,4,Image 1,2,1,100000000,610000004007,
2,,Spine,5,3,Image 1,2,1,100000000,610000004008,
2,,Spine,5,2,Image 1,1,1,100000000,610000004009,
2,,Spine,5,4,Image 1,3,1,100000000,610000004010,
2,,Spine,5,3,Image 1,2,1,100000000,610000004011,
2,,Spine,5,3,Image 1,2,1,100000000,610000004012,
2,,Spine,5,3,Image 1,2,1,100000000,610000004013,
2,,Spine,5,3,Image 1,2,1,100000000,610000004014,
2,,Spine,5,0,Image 1,1,1,100000000,610000004019,
2,,Spine,5,3,Image 1,4,1,100000001,610000004020,
1,,Spine,5,2,Image 1,2,1,100000001,610000004021,
2,,Spine,5,1,Image 1,2,1,100000001,610000004022,
2,,Spine,5,5,Image 1,3,1,100000001,610000004023,
2,,Spine,5,5,Image 1,2,1,100000001,610000004024,
2,,Spine,5,6,Image 1,4,1,100000001,610000004025,
2,,Spine,5,6,Image 1,3,1,100000001,610000004026,
2,,Spine,5,6,Image 1,3,1,100000001,610000004027,
2,,Spine,5,1,Image 1,1,1,100000001,610000004028,
2,,Spine,5,0,Image 1,1,1,100000001,610000004029,
2,,Spine,5,0,Image 1,1,1,100000001,610000004030,
2,,Spine,5,4,Image 1,2,1,100000001,610000004031,
2,,Spine,5,1,Image 1,2,1,100000001,610000004032,
2,,Spine,5,0,Image 1,1,1,100000001,610000004033,
2,,Spine,5,7,Image 1,3,1,100000001,610000004034,
2,,Spine,5,7,Image 1,3,1,100000001,610000004035,
2,,Spine,5,7,Image 1,3,1,100000001,610000004036,
2,,Spine,5,4,Image 1,2,1,100000001,610000004037,
2,,Spine,5,4,Image 1,2,1,100000001,610000004038,
2,,Spine,5,4,Image 1,3,1,100000001,610000004039,
2,,Spine,5,1,Image 1,1,1,100000001,610000004040,
2,,Spine,5,1,Image 1,1,1,100000001,610000004041,
2,,Spine,5,1,Image 1,1,1,100000001,610000004042,
2,,Spine,5,4,Image 1,2,1,100000001,610000004043,
2,,Spine,5,3,Image 1,2,1,100000001,610000004044,
2,,Spine,5,2,Image 1,3,1,100000001,610000004045,
2,,Spine,5,1,Image 1,2,1,100000001,610000004046,
2,,Spine,5,3,Image 1,2,1,100000001,610000004047,
2,,Spine,5,3,Image 1,2,1,100000001,610000004048,
2,,Spine,5,1,Image 1,1,1,100000001,610000004049,
