
Spine Center Intensity Min Ch=5 Img=1
 ==================== 
Spine Center Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,5,0,Image 1,1,1,100000001,610000003848,
0,,Spine,5,0,Image 1,1,1,100000001,610000003852,
0,,Spine,5,0,Image 1,1,1,100000000,610000003854,
0,,Spine,5,2,Image 1,3,1,100000000,610000003856,
0,,Spine,5,0,Image 1,1,1,100000000,610000003860,
0,,Spine,5,5,Image 1,2,1,100000001,610000003862,
0,,Spine,5,0,Image 1,1,1,100000000,610000003866,
0,,Spine,5,3,Image 1,2,1,100000001,610000003869,
0,,Spine,5,0,Image 1,1,1,100000000,610000003873,
0,,Spine,5,1,Image 1,2,1,100000001,610000003876,
0,,Spine,5,0,Image 1,1,1,100000000,610000003879,
0,,Spine,5,0,Image 1,1,1,100000001,610000003883,
0,,Spine,5,0,Image 1,1,1,100000000,610000003886,
0,,Spine,5,4,Image 1,1,1,100000000,610000003888,
0,,Spine,5,6,Image 1,3,1,100000001,610000003890,
0,,Spine,5,0,Image 1,1,1,100000000,610000003894,
0,,Spine,5,4,Image 1,2,1,100000001,610000003898,
0,,Spine,5,0,Image 1,1,1,100000000,610000003900,
0,,Spine,5,0,Image 1,1,1,100000000,610000003903,
0,,Spine,5,0,Image 1,1,1,100000000,610000003909,
0,,Spine,5,0,Image 1,1,1,100000001,610000003912,
0,,Spine,5,4,Image 1,2,1,100000000,610000003914,
0,,Spine,5,4,Image 1,3,1,100000000,610000003919,
0,,Spine,5,0,Image 1,1,1,100000000,610000003922,
1,,Spine,5,2,Image 1,2,1,100000001,610000003928,
0,,Spine,5,2,Image 1,1,1,100000000,610000003930,
0,,Spine,5,4,Image 1,2,1,100000000,610000003932,
0,,Spine,5,3,Image 1,2,1,100000000,610000003934,
0,,Spine,5,0,Image 1,1,1,100000000,610000003936,
0,,Spine,5,3,Image 1,3,1,100000001,610000003938,
0,,Spine,5,3,Image 1,3,1,100000001,610000003940,
0,,Spine,5,0,Image 1,1,1,100000000,610000003942,
0,,Spine,5,1,Image 1,1,1,100000001,610000003944,
0,,Spine,5,0,Image 1,1,1,100000000,610000003953,
1,,Spine,5,1,Image 1,2,1,100000001,610000003956,
0,,Spine,5,0,Image 1,1,1,100000000,610000003965,
0,,Spine,5,0,Image 1,1,1,100000000,610000003967,
0,,Spine,5,0,Image 1,1,1,100000000,610000003978,
0,,Spine,5,2,Image 1,2,1,100000000,610000003985,
0,,Spine,5,6,Image 1,5,1,100000000,610000003988,
1,,Spine,5,6,Image 1,5,1,100000000,610000003989,
0,,Spine,5,3,Image 1,3,1,100000000,610000003990,
0,,Spine,5,2,Image 1,3,1,100000000,610000003991,
1,,Spine,5,2,Image 1,3,1,100000000,610000003992,
0,,Spine,5,2,Image 1,3,1,100000000,610000003993,
0,,Spine,5,2,Image 1,3,1,100000000,610000003994,
2,,Spine,5,2,Image 1,2,1,100000000,610000003995,
0,,Spine,5,1,Image 1,2,1,100000000,610000003996,
0,,Spine,5,5,Image 1,2,1,100000000,610000003997,
0,,Spine,5,5,Image 1,2,1,100000000,610000003998,
0,,Spine,5,5,Image 1,2,1,100000000,610000003999,
0,,Spine,5,4,Image 1,2,1,100000000,610000004000,
0,,Spine,5,2,Image 1,2,1,100000000,610000004001,
0,,Spine,5,0,Image 1,1,1,100000000,610000004003,
0,,Spine,5,0,Image 1,1,1,100000000,610000004004,
22,,Spine,5,6,Image 1,3,1,100000000,610000004005,
1,,Spine,5,4,Image 1,1,1,100000000,610000004006,
0,,Spine,5,4,Image 1,2,1,100000000,610000004007,
0,,Spine,5,3,Image 1,2,1,100000000,610000004008,
1,,Spine,5,2,Image 1,1,1,100000000,610000004009,
0,,Spine,5,4,Image 1,3,1,100000000,610000004010,
0,,Spine,5,3,Image 1,2,1,100000000,610000004011,
0,,Spine,5,3,Image 1,2,1,100000000,610000004012,
1,,Spine,5,3,Image 1,2,1,100000000,610000004013,
0,,Spine,5,3,Image 1,2,1,100000000,610000004014,
0,,Spine,5,0,Image 1,1,1,100000000,610000004019,
0,,Spine,5,3,Image 1,4,1,100000001,610000004020,
0,,Spine,5,2,Image 1,2,1,100000001,610000004021,
0,,Spine,5,1,Image 1,2,1,100000001,610000004022,
1,,Spine,5,5,Image 1,3,1,100000001,610000004023,
0,,Spine,5,5,Image 1,2,1,100000001,610000004024,
0,,Spine,5,6,Image 1,4,1,100000001,610000004025,
0,,Spine,5,6,Image 1,3,1,100000001,610000004026,
0,,Spine,5,6,Image 1,3,1,100000001,610000004027,
0,,Spine,5,1,Image 1,1,1,100000001,610000004028,
0,,Spine,5,0,Image 1,1,1,100000001,610000004029,
0,,Spine,5,0,Image 1,1,1,100000001,610000004030,
0,,Spine,5,4,Image 1,2,1,100000001,610000004031,
0,,Spine,5,1,Image 1,2,1,100000001,610000004032,
0,,Spine,5,0,Image 1,1,1,100000001,610000004033,
0,,Spine,5,7,Image 1,3,1,100000001,610000004034,
1,,Spine,5,7,Image 1,3,1,100000001,610000004035,
0,,Spine,5,7,Image 1,3,1,100000001,610000004036,
0,,Spine,5,4,Image 1,2,1,100000001,610000004037,
0,,Spine,5,4,Image 1,2,1,100000001,610000004038,
0,,Spine,5,4,Image 1,3,1,100000001,610000004039,
0,,Spine,5,1,Image 1,1,1,100000001,610000004040,
0,,Spine,5,1,Image 1,1,1,100000001,610000004041,
0,,Spine,5,1,Image 1,1,1,100000001,610000004042,
0,,Spine,5,4,Image 1,2,1,100000001,610000004043,
0,,Spine,5,3,Image 1,2,1,100000001,610000004044,
0,,Spine,5,2,Image 1,3,1,100000001,610000004045,
0,,Spine,5,1,Image 1,2,1,100000001,610000004046,
0,,Spine,5,3,Image 1,2,1,100000001,610000004047,
0,,Spine,5,3,Image 1,2,1,100000001,610000004048,
0,,Spine,5,1,Image 1,1,1,100000001,610000004049,
