
Segment Center Intensity Mean Ch=2 Img=1
 ==================== 
Segment Center Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0.40625,,Segment,2,6,Image 1,5,1,100000000,510000000032,
0.5625,,Segment,2,5,Image 1,4,1,100000000,510000000063,
8.14754,,Segment,2,4,Image 1,4,1,100000000,510000000123,
0.863636,,Segment,2,3,Image 1,3,1,100000000,510000000144,
0.581081,,Segment,2,2,Image 1,3,1,100000000,510000000217,
0.416667,,Segment,2,1,Image 1,2,1,100000000,510000000240,
0.583333,,Segment,2,0,Image 1,1,1,100000000,510000000267,
2.20225,,Segment,2,1,Image 1,2,1,100000000,510000000358,
0.227273,,Segment,2,0,Image 1,1,1,100000000,510000000389,
1.04545,,Segment,2,6,Image 1,4,1,100000000,510000000424,
0.36,,Segment,2,5,Image 1,5,1,100000000,510000000448,
1.60145,,Segment,2,4,Image 1,3,1,100000000,510000000585,
0.6,,Segment,2,3,Image 1,3,1,100000000,510000000599,
0.547619,,Segment,2,2,Image 1,2,1,100000000,510000000640,
1.13333,,Segment,2,1,Image 1,1,1,100000000,510000000654,
0.833333,,Segment,2,4,Image 1,4,1,100000000,510000000659,
0.473684,,Segment,2,3,Image 1,4,1,100000000,510000000677,
0.0769231,,Segment,2,3,Image 1,4,1,100000001,510000000690,
0.275,,Segment,2,2,Image 1,3,1,100000001,510000000729,
0.348837,,Segment,2,1,Image 1,2,1,100000001,510000000771,
1.04878,,Segment,2,0,Image 1,1,1,100000001,510000000816,
0.272727,,Segment,2,3,Image 1,3,1,100000001,510000000848,
0.5,,Segment,2,4,Image 1,3,1,100000000,510000000856,
0.722222,,Segment,2,3,Image 1,2,1,100000000,510000000873,
66.7917,,Segment,2,6,Image 1,3,1,100000000,510000000897,
3.92857,,Segment,2,5,Image 1,2,1,100000000,510000000910,
0.676923,,Segment,2,4,Image 1,1,1,100000000,510000000974,
0.8,,Segment,2,3,Image 1,1,1,100000000,510000001003,
0.333333,,Segment,2,2,Image 1,1,1,100000000,510000001011,
0.428571,,Segment,2,1,Image 1,1,1,100000000,510000001017,
0.514286,,Segment,2,4,Image 1,4,1,100000000,510000001051,
0.483516,,Segment,2,5,Image 1,3,1,100000001,510000001141,
0.5,,Segment,2,4,Image 1,2,1,100000001,510000001160,
1,,Segment,2,3,Image 1,1,1,100000001,510000001164,
0.666667,,Segment,2,2,Image 1,1,1,100000001,510000001169,
0.4,,Segment,2,1,Image 1,1,1,100000001,510000001198,
0.1,,Segment,2,2,Image 1,2,1,100000001,510000001219,
0.5,,Segment,2,7,Image 1,2,1,100000001,510000001266,
0.658537,,Segment,2,6,Image 1,2,1,100000001,510000001306,
0.4,,Segment,2,5,Image 1,2,1,100000001,510000001310,
0.475,,Segment,2,4,Image 1,2,1,100000001,510000001349,
0.583333,,Segment,2,3,Image 1,2,1,100000001,510000001372,
0.5,,Segment,2,2,Image 1,2,1,100000001,510000001393,
0.590909,,Segment,2,1,Image 1,1,1,100000001,510000001414,
0.25,,Segment,2,0,Image 1,1,1,100000001,510000001430,
0.3,,Segment,2,5,Image 1,2,1,100000000,510000001453,
0.375,,Segment,2,4,Image 1,2,1,100000000,510000001468,
0.533333,,Segment,2,3,Image 1,2,1,100000000,510000001482,
0.392857,,Segment,2,7,Image 1,2,1,100000000,510000001509,
2.30769,,Segment,2,6,Image 1,2,1,100000000,510000001534,
0.235294,,Segment,2,7,Image 1,3,1,100000000,510000001550,
0.368421,,Segment,2,6,Image 1,2,1,100000000,510000001568,
0.5625,,Segment,2,5,Image 1,1,1,100000000,510000001583,
31.2,,Segment,2,6,Image 1,1,1,100000000,510000001592,
0.552632,,Segment,2,5,Image 1,2,1,100000001,510000001629,
1.5,,Segment,2,4,Image 1,1,1,100000001,510000001632,
0.45,,Segment,2,7,Image 1,3,1,100000001,510000001651,
0.508475,,Segment,2,4,Image 1,3,1,100000001,510000001709,
0.45,,Segment,2,4,Image 1,3,1,100000000,510000001788,
0.596774,,Segment,2,3,Image 1,2,1,100000000,510000001849,
0.4,,Segment,2,2,Image 1,2,1,100000000,510000001853,
2.0303,,Segment,2,3,Image 1,3,1,100000001,510000001918,
0.571429,,Segment,2,2,Image 1,2,1,100000001,510000001924,
