
Spine Intensity Min Ch=1 Img=1
 ==================== 
Spine Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
0,,Spine,1,2,Image 1,3,1,100000000,610000003139,
0,,Spine,1,2,Image 1,3,1,100000000,610000003164,
0,,Spine,1,1,Image 1,2,1,100000001,610000003186,
0,,Spine,1,1,Image 1,2,1,100000001,610000003207,
0,,Spine,1,1,Image 1,2,1,100000001,610000003228,
0,,Spine,1,6,Image 1,3,1,100000001,610000003258,
0,,Spine,1,6,Image 1,3,1,100000001,610000003282,
0,,Spine,1,6,Image 1,3,1,100000001,610000003305,
0,,Spine,1,6,Image 1,3,1,100000001,610000003326,
35,,Spine,1,0,Image 1,1,1,100000001,610000003337,
14,,Spine,1,0,Image 1,1,1,100000000,610000003348,
16,,Spine,1,0,Image 1,1,1,100000001,610000003355,
1,,Spine,1,0,Image 1,1,1,100000001,610000003365,
10,,Spine,1,4,Image 1,3,1,100000000,610000003372,
14,,Spine,1,0,Image 1,1,1,100000000,610000003384,
17,,Spine,1,0,Image 1,1,1,100000000,610000003397,
9,,Spine,1,3,Image 1,4,1,100000001,610000003404,
15,,Spine,1,0,Image 1,1,1,100000001,610000003410,
66,,Spine,1,0,Image 1,1,1,100000000,610000003420,
78,,Spine,1,0,Image 1,1,1,100000000,610000003430,
44,,Spine,1,0,Image 1,1,1,100000000,610000003440,
8,,Spine,1,6,Image 1,3,1,100000001,610000003444,
36,,Spine,1,0,Image 1,1,1,100000000,610000003454,
66,,Spine,1,0,Image 1,1,1,100000000,610000003464,
44,,Spine,1,0,Image 1,1,1,100000000,610000003475,
33,,Spine,1,0,Image 1,1,1,100000000,610000003486,
30,,Spine,1,0,Image 1,1,1,100000000,610000003495,
32,,Spine,1,0,Image 1,1,1,100000000,610000003500,
1,,Spine,1,0,Image 1,1,1,100000001,610000003507,
78,,Spine,1,0,Image 1,1,1,100000000,610000003517,
41,,Spine,1,0,Image 1,1,1,100000000,610000003525,
74,,Spine,1,0,Image 1,1,1,100000000,610000003536,
13,,Spine,1,2,Image 1,1,1,100000000,610000003539,
15,,Spine,1,0,Image 1,1,1,100000000,610000003546,
66,,Spine,1,0,Image 1,1,1,100000000,610000003555,
8,,Spine,1,4,Image 1,3,1,100000000,610000003557,
23,,Spine,1,0,Image 1,1,1,100000000,610000003567,
6,,Spine,1,1,Image 1,2,1,100000000,610000003569,
6,,Spine,1,4,Image 1,3,1,100000000,610000003571,
2,,Spine,1,1,Image 1,1,1,100000001,610000003575,
73,,Spine,1,0,Image 1,1,1,100000000,610000003585,
13,,Spine,1,1,Image 1,1,1,100000000,610000003589,
43,,Spine,1,0,Image 1,1,1,100000000,610000003597,
61,,Spine,1,0,Image 1,1,1,100000000,610000003602,
8,,Spine,1,1,Image 1,1,1,100000000,610000003608,
9,,Spine,1,2,Image 1,1,1,100000000,610000003611,
6,,Spine,1,7,Image 1,3,1,100000000,610000003619,
66,,Spine,1,0,Image 1,1,1,100000000,610000003627,
1,,Spine,1,0,Image 1,1,1,100000001,610000003633,
12,,Spine,1,6,Image 1,5,1,100000000,610000003635,
57,,Spine,1,0,Image 1,1,1,100000000,610000003642,
8,,Spine,1,6,Image 1,3,1,100000001,610000003645,
91,,Spine,1,0,Image 1,1,1,100000000,610000003651,
