
Spine Intensity Mean Ch=1 Img=1
 ==================== 
Spine Intensity Mean,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
76.142,,Spine,1,3,Image 1,2,1,100000001,610000003818,
121.728,,Spine,1,0,Image 1,1,1,100000000,610000003822,
122.412,,Spine,1,0,Image 1,1,1,100000000,610000003825,
111.101,,Spine,1,0,Image 1,1,1,100000000,610000003828,
100.866,,Spine,1,0,Image 1,1,1,100000001,610000003832,
52.7857,,Spine,1,2,Image 1,3,1,100000001,610000003834,
98.961,,Spine,1,0,Image 1,1,1,100000001,610000003838,
117.531,,Spine,1,0,Image 1,1,1,100000000,610000003841,
66.0153,,Spine,1,2,Image 1,1,1,100000000,610000003844,
69.927,,Spine,1,0,Image 1,1,1,100000001,610000003848,
61.7077,,Spine,1,0,Image 1,1,1,100000001,610000003852,
142.308,,Spine,1,0,Image 1,1,1,100000000,610000003854,
55.0856,,Spine,1,2,Image 1,3,1,100000000,610000003856,
153.607,,Spine,1,0,Image 1,1,1,100000000,610000003860,
78.9928,,Spine,1,5,Image 1,2,1,100000001,610000003862,
156.273,,Spine,1,0,Image 1,1,1,100000000,610000003866,
67.0043,,Spine,1,3,Image 1,2,1,100000001,610000003869,
166.371,,Spine,1,0,Image 1,1,1,100000000,610000003873,
44.1515,,Spine,1,1,Image 1,2,1,100000001,610000003876,
125.482,,Spine,1,0,Image 1,1,1,100000000,610000003879,
93.0169,,Spine,1,0,Image 1,1,1,100000001,610000003883,
157.194,,Spine,1,0,Image 1,1,1,100000000,610000003886,
61.2754,,Spine,1,4,Image 1,1,1,100000000,610000003888,
60.6763,,Spine,1,6,Image 1,3,1,100000001,610000003890,
117.369,,Spine,1,0,Image 1,1,1,100000000,610000003894,
91.4126,,Spine,1,4,Image 1,2,1,100000001,610000003898,
154.949,,Spine,1,0,Image 1,1,1,100000000,610000003900,
153.532,,Spine,1,0,Image 1,1,1,100000000,610000003903,
148.076,,Spine,1,0,Image 1,1,1,100000000,610000003909,
103.701,,Spine,1,0,Image 1,1,1,100000001,610000003912,
61.4056,,Spine,1,4,Image 1,2,1,100000000,610000003914,
75.4561,,Spine,1,4,Image 1,3,1,100000000,610000003919,
142.882,,Spine,1,0,Image 1,1,1,100000000,610000003922,
52.8898,,Spine,1,2,Image 1,2,1,100000001,610000003928,
80.0957,,Spine,1,2,Image 1,1,1,100000000,610000003930,
60.5894,,Spine,1,4,Image 1,2,1,100000000,610000003932,
77.7921,,Spine,1,3,Image 1,2,1,100000000,610000003934,
152.853,,Spine,1,0,Image 1,1,1,100000000,610000003936,
113.437,,Spine,1,3,Image 1,3,1,100000001,610000003938,
