
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
28.675,186751,µm^3,Cumulative Volume Outside,Image 1,1,,
28.985,188461,µm^3,Cumulative Volume Outside,Image 1,1,,
29.295,190187,µm^3,Cumulative Volume Outside,Image 1,1,,
29.605,191921,µm^3,Cumulative Volume Outside,Image 1,1,,
29.915,193656,µm^3,Cumulative Volume Outside,Image 1,1,,
30.225,195384,µm^3,Cumulative Volume Outside,Image 1,1,,
30.535,197097,µm^3,Cumulative Volume Outside,Image 1,1,,
30.845,198787,µm^3,Cumulative Volume Outside,Image 1,1,,
31.155,200493,µm^3,Cumulative Volume Outside,Image 1,1,,
31.465,202209,µm^3,Cumulative Volume Outside,Image 1,1,,
31.775,203922,µm^3,Cumulative Volume Outside,Image 1,1,,
32.085,205630,µm^3,Cumulative Volume Outside,Image 1,1,,
32.395,207342,µm^3,Cumulative Volume Outside,Image 1,1,,
32.705,209053,µm^3,Cumulative Volume Outside,Image 1,1,,
33.015,210764,µm^3,Cumulative Volume Outside,Image 1,1,,
33.325,212474,µm^3,Cumulative Volume Outside,Image 1,1,,
33.635,214180,µm^3,Cumulative Volume Outside,Image 1,1,,
33.945,215881,µm^3,Cumulative Volume Outside,Image 1,1,,
34.255,217574,µm^3,Cumulative Volume Outside,Image 1,1,,
34.565,219241,µm^3,Cumulative Volume Outside,Image 1,1,,
34.875,220871,µm^3,Cumulative Volume Outside,Image 1,1,,
35.185,222533,µm^3,Cumulative Volume Outside,Image 1,1,,
35.495,224219,µm^3,Cumulative Volume Outside,Image 1,1,,
35.805,225918,µm^3,Cumulative Volume Outside,Image 1,1,,
36.115,227612,µm^3,Cumulative Volume Outside,Image 1,1,,
36.425,229300,µm^3,Cumulative Volume Outside,Image 1,1,,
36.735,230973,µm^3,Cumulative Volume Outside,Image 1,1,,
37.045,232628,µm^3,Cumulative Volume Outside,Image 1,1,,
37.355,234261,µm^3,Cumulative Volume Outside,Image 1,1,,
37.665,235872,µm^3,Cumulative Volume Outside,Image 1,1,,
37.975,237458,µm^3,Cumulative Volume Outside,Image 1,1,,
38.285,239014,µm^3,Cumulative Volume Outside,Image 1,1,,
38.595,240512,µm^3,Cumulative Volume Outside,Image 1,1,,
38.905,241921,µm^3,Cumulative Volume Outside,Image 1,1,,
39.215,243291,µm^3,Cumulative Volume Outside,Image 1,1,,
39.525,244618,µm^3,Cumulative Volume Outside,Image 1,1,,
