
Spine Center Intensity Max Ch=4 Img=1
 ==================== 
Spine Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
119,,Spine,4,0,Image 1,1,1,100000001,610000003848,
104,,Spine,4,0,Image 1,1,1,100000001,610000003852,
175,,Spine,4,0,Image 1,1,1,100000000,610000003854,
91,,Spine,4,2,Image 1,3,1,100000000,610000003856,
165,,Spine,4,0,Image 1,1,1,100000000,610000003860,
138,,Spine,4,5,Image 1,2,1,100000001,610000003862,
168,,Spine,4,0,Image 1,1,1,100000000,610000003866,
117,,Spine,4,3,Image 1,2,1,100000001,610000003869,
196,,Spine,4,0,Image 1,1,1,100000000,610000003873,
73,,Spine,4,1,Image 1,2,1,100000001,610000003876,
184,,Spine,4,0,Image 1,1,1,100000000,610000003879,
126,,Spine,4,0,Image 1,1,1,100000001,610000003883,
157,,Spine,4,0,Image 1,1,1,100000000,610000003886,
109,,Spine,4,4,Image 1,1,1,100000000,610000003888,
106,,Spine,4,6,Image 1,3,1,100000001,610000003890,
192,,Spine,4,0,Image 1,1,1,100000000,610000003894,
151,,Spine,4,4,Image 1,2,1,100000001,610000003898,
173,,Spine,4,0,Image 1,1,1,100000000,610000003900,
193,,Spine,4,0,Image 1,1,1,100000000,610000003903,
170,,Spine,4,0,Image 1,1,1,100000000,610000003909,
130,,Spine,4,0,Image 1,1,1,100000001,610000003912,
143,,Spine,4,4,Image 1,2,1,100000000,610000003914,
122,,Spine,4,4,Image 1,3,1,100000000,610000003919,
156,,Spine,4,0,Image 1,1,1,100000000,610000003922,
105,,Spine,4,2,Image 1,2,1,100000001,610000003928,
152,,Spine,4,2,Image 1,1,1,100000000,610000003930,
131,,Spine,4,4,Image 1,2,1,100000000,610000003932,
108,,Spine,4,3,Image 1,2,1,100000000,610000003934,
183,,Spine,4,0,Image 1,1,1,100000000,610000003936,
169,,Spine,4,3,Image 1,3,1,100000001,610000003938,
158,,Spine,4,3,Image 1,3,1,100000001,610000003940,
136,,Spine,4,0,Image 1,1,1,100000000,610000003942,
159,,Spine,4,1,Image 1,1,1,100000001,610000003944,
169,,Spine,4,0,Image 1,1,1,100000000,610000003953,
146,,Spine,4,1,Image 1,2,1,100000001,610000003956,
198,,Spine,4,0,Image 1,1,1,100000000,610000003965,
176,,Spine,4,0,Image 1,1,1,100000000,610000003967,
188,,Spine,4,0,Image 1,1,1,100000000,610000003978,
189,,Spine,4,2,Image 1,2,1,100000000,610000003985,
65,,Spine,4,6,Image 1,5,1,100000000,610000003988,
126,,Spine,4,6,Image 1,5,1,100000000,610000003989,
63,,Spine,4,3,Image 1,3,1,100000000,610000003990,
170,,Spine,4,2,Image 1,3,1,100000000,610000003991,
147,,Spine,4,2,Image 1,3,1,100000000,610000003992,
38,,Spine,4,2,Image 1,3,1,100000000,610000003993,
90,,Spine,4,2,Image 1,3,1,100000000,610000003994,
134,,Spine,4,2,Image 1,2,1,100000000,610000003995,
136,,Spine,4,1,Image 1,2,1,100000000,610000003996,
103,,Spine,4,5,Image 1,2,1,100000000,610000003997,
109,,Spine,4,5,Image 1,2,1,100000000,610000003998,
151,,Spine,4,5,Image 1,2,1,100000000,610000003999,
41,,Spine,4,4,Image 1,2,1,100000000,610000004000,
196,,Spine,4,2,Image 1,2,1,100000000,610000004001,
145,,Spine,4,0,Image 1,1,1,100000000,610000004003,
182,,Spine,4,0,Image 1,1,1,100000000,610000004004,
50,,Spine,4,6,Image 1,3,1,100000000,610000004005,
127,,Spine,4,4,Image 1,1,1,100000000,610000004006,
102,,Spine,4,4,Image 1,2,1,100000000,610000004007,
47,,Spine,4,3,Image 1,2,1,100000000,610000004008,
88,,Spine,4,2,Image 1,1,1,100000000,610000004009,
59,,Spine,4,4,Image 1,3,1,100000000,610000004010,
142,,Spine,4,3,Image 1,2,1,100000000,610000004011,
137,,Spine,4,3,Image 1,2,1,100000000,610000004012,
169,,Spine,4,3,Image 1,2,1,100000000,610000004013,
179,,Spine,4,3,Image 1,2,1,100000000,610000004014,
103,,Spine,4,0,Image 1,1,1,100000000,610000004019,
61,,Spine,4,3,Image 1,4,1,100000001,610000004020,
122,,Spine,4,2,Image 1,2,1,100000001,610000004021,
91,,Spine,4,1,Image 1,2,1,100000001,610000004022,
90,,Spine,4,5,Image 1,3,1,100000001,610000004023,
138,,Spine,4,5,Image 1,2,1,100000001,610000004024,
59,,Spine,4,6,Image 1,4,1,100000001,610000004025,
54,,Spine,4,6,Image 1,3,1,100000001,610000004026,
86,,Spine,4,6,Image 1,3,1,100000001,610000004027,
128,,Spine,4,1,Image 1,1,1,100000001,610000004028,
130,,Spine,4,0,Image 1,1,1,100000001,610000004029,
97,,Spine,4,0,Image 1,1,1,100000001,610000004030,
151,,Spine,4,4,Image 1,2,1,100000001,610000004031,
122,,Spine,4,1,Image 1,2,1,100000001,610000004032,
145,,Spine,4,0,Image 1,1,1,100000001,610000004033,
64,,Spine,4,7,Image 1,3,1,100000001,610000004034,
115,,Spine,4,7,Image 1,3,1,100000001,610000004035,
65,,Spine,4,7,Image 1,3,1,100000001,610000004036,
75,,Spine,4,4,Image 1,2,1,100000001,610000004037,
77,,Spine,4,4,Image 1,2,1,100000001,610000004038,
77,,Spine,4,4,Image 1,3,1,100000001,610000004039,
150,,Spine,4,1,Image 1,1,1,100000001,610000004040,
176,,Spine,4,1,Image 1,1,1,100000001,610000004041,
133,,Spine,4,1,Image 1,1,1,100000001,610000004042,
173,,Spine,4,4,Image 1,2,1,100000001,610000004043,
170,,Spine,4,3,Image 1,2,1,100000001,610000004044,
72,,Spine,4,2,Image 1,3,1,100000001,610000004045,
47,,Spine,4,1,Image 1,2,1,100000001,610000004046,
92,,Spine,4,3,Image 1,2,1,100000001,610000004047,
113,,Spine,4,3,Image 1,2,1,100000001,610000004048,
70,,Spine,4,1,Image 1,1,1,100000001,610000004049,
