
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-10.075,32.8389,µm^3,Volume,Image 1,1,,
-9.765,93.3611,µm^3,Volume,Image 1,1,,
-9.455,176.128,µm^3,Volume,Image 1,1,,
-9.145,251.972,µm^3,Volume,Image 1,1,,
-8.835,313.828,µm^3,Volume,Image 1,1,,
-8.525,407.667,µm^3,Volume,Image 1,1,,
-8.215,481.972,µm^3,Volume,Image 1,1,,
-7.905,589.411,µm^3,Volume,Image 1,1,,
-7.595,668.5,µm^3,Volume,Image 1,1,,
-7.285,786.317,µm^3,Volume,Image 1,1,,
-6.975,863.011,µm^3,Volume,Image 1,1,,
-6.665,980.611,µm^3,Volume,Image 1,1,,
-6.355,1057.61,µm^3,Volume,Image 1,1,,
-6.045,1197.96,µm^3,Volume,Image 1,1,,
-5.735,1291.48,µm^3,Volume,Image 1,1,,
-5.425,1330.46,µm^3,Volume,Image 1,1,,
-5.115,1445.16,µm^3,Volume,Image 1,1,,
-4.805,1505.19,µm^3,Volume,Image 1,1,,
-4.495,1631.45,µm^3,Volume,Image 1,1,,
-4.185,1702.32,µm^3,Volume,Image 1,1,,
-3.875,1833.35,µm^3,Volume,Image 1,1,,
-3.565,1918.7,µm^3,Volume,Image 1,1,,
-3.255,2091.65,µm^3,Volume,Image 1,1,,
-2.945,2200.71,µm^3,Volume,Image 1,1,,
-2.635,2221.39,µm^3,Volume,Image 1,1,,
-2.325,2362.12,µm^3,Volume,Image 1,1,,
-2.015,2435.11,µm^3,Volume,Image 1,1,,
-1.705,2591.34,µm^3,Volume,Image 1,1,,
-1.395,2652.67,µm^3,Volume,Image 1,1,,
-1.085,2813.11,µm^3,Volume,Image 1,1,,
-0.775,2888.63,µm^3,Volume,Image 1,1,,
-0.464999,2959.89,µm^3,Volume,Image 1,1,,
-0.155,2881.29,µm^3,Volume,Image 1,1,,
0.155001,2940.18,µm^3,Volume,Image 1,1,,
0.465,2718.76,µm^3,Volume,Image 1,1,,
0.775001,2513.74,µm^3,Volume,Image 1,1,,
1.085,2438.15,µm^3,Volume,Image 1,1,,
1.395,2407.34,µm^3,Volume,Image 1,1,,
1.705,2415.77,µm^3,Volume,Image 1,1,,
2.015,2405.41,µm^3,Volume,Image 1,1,,
2.325,2404.7,µm^3,Volume,Image 1,1,,
2.635,2395.63,µm^3,Volume,Image 1,1,,
2.945,2400.27,µm^3,Volume,Image 1,1,,
3.255,2386,µm^3,Volume,Image 1,1,,
3.565,2363.71,µm^3,Volume,Image 1,1,,
3.875,2342.84,µm^3,Volume,Image 1,1,,
4.185,2329.02,µm^3,Volume,Image 1,1,,
4.495,2303.34,µm^3,Volume,Image 1,1,,
4.805,2282.31,µm^3,Volume,Image 1,1,,
5.115,2273.03,µm^3,Volume,Image 1,1,,
5.425,2249,µm^3,Volume,Image 1,1,,
5.735,2233.64,µm^3,Volume,Image 1,1,,
6.045,2215.49,µm^3,Volume,Image 1,1,,
6.355,2192.78,µm^3,Volume,Image 1,1,,
6.665,2179.58,µm^3,Volume,Image 1,1,,
6.975,2169.66,µm^3,Volume,Image 1,1,,
7.285,2149.87,µm^3,Volume,Image 1,1,,
7.595,2137.8,µm^3,Volume,Image 1,1,,
7.905,2135.94,µm^3,Volume,Image 1,1,,
8.215,2131.48,µm^3,Volume,Image 1,1,,
8.525,2111.31,µm^3,Volume,Image 1,1,,
8.835,2090.8,µm^3,Volume,Image 1,1,,
9.145,2086.4,µm^3,Volume,Image 1,1,,
9.455,2071.14,µm^3,Volume,Image 1,1,,
9.765,2052.39,µm^3,Volume,Image 1,1,,
10.075,2047.03,µm^3,Volume,Image 1,1,,
10.385,2031.37,µm^3,Volume,Image 1,1,,
10.695,2013.33,µm^3,Volume,Image 1,1,,
11.005,2013.76,µm^3,Volume,Image 1,1,,
11.315,2007.49,µm^3,Volume,Image 1,1,,
11.625,1988,µm^3,Volume,Image 1,1,,
11.935,1990.9,µm^3,Volume,Image 1,1,,
12.245,1979.15,µm^3,Volume,Image 1,1,,
12.555,1955.61,µm^3,Volume,Image 1,1,,
