
Segment Center Intensity StdDev Ch=4 Img=1
 ==================== 
Segment Center Intensity StdDev,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
27.4769,,Segment,4,17,Image 1,8,1,100000003,510000000015,
19.4381,,Segment,4,16,Image 1,8,1,100000003,510000000019,
22.4029,,Segment,4,15,Image 1,8,1,100000003,510000000024,
21.1667,,Segment,4,14,Image 1,7,1,100000003,510000000040,
23.2713,,Segment,4,13,Image 1,7,1,100000003,510000000042,
46.2823,,Segment,4,12,Image 1,7,1,100000003,510000000131,
44.2835,,Segment,4,11,Image 1,6,1,100000003,510000000144,
15.1166,,Segment,4,10,Image 1,5,1,100000003,510000000154,
46.8714,,Segment,4,9,Image 1,4,1,100000003,510000000172,
26.1049,,Segment,4,8,Image 1,3,1,100000003,510000000188,
33.1652,,Segment,4,7,Image 1,3,1,100000003,510000000200,
16.5806,,Segment,4,6,Image 1,3,1,100000003,510000000205,
52.4214,,Segment,4,5,Image 1,3,1,100000003,510000000220,
24.1609,,Segment,4,4,Image 1,2,1,100000003,510000000227,
18.4855,,Segment,4,3,Image 1,2,1,100000003,510000000241,
21.3205,,Segment,4,2,Image 1,1,1,100000003,510000000251,
24.8453,,Segment,4,1,Image 1,1,1,100000003,510000000260,
18.7083,,Segment,4,0,Image 1,1,1,100000003,510000000272,
12.3288,,Segment,4,17,Image 1,9,1,100000003,510000000299,
15.7762,,Segment,4,16,Image 1,9,1,100000003,510000000304,
25.0328,,Segment,4,14,Image 1,8,1,100000003,510000000308,
22.8376,,Segment,4,15,Image 1,7,1,100000003,510000000310,
19.3639,,Segment,4,13,Image 1,8,1,100000003,510000000324,
31.1305,,Segment,4,6,Image 1,3,1,100000003,510000000334,
47.5408,,Segment,4,5,Image 1,3,1,100000003,510000000387,
27.9727,,Segment,4,4,Image 1,3,1,100000003,510000000404,
36.051,,Segment,4,3,Image 1,2,1,100000003,510000000417,
38.2387,,Segment,4,2,Image 1,2,1,100000003,510000000427,
31.5862,,Segment,4,6,Image 1,4,1,100000003,510000000430,
34.4991,,Segment,4,5,Image 1,4,1,100000003,510000000433,
26.239,,Segment,4,9,Image 1,6,1,100000001,510000000440,
21.5149,,Segment,4,8,Image 1,5,1,100000001,510000000442,
26.0663,,Segment,4,7,Image 1,5,1,100000001,510000000452,
24.5588,,Segment,4,6,Image 1,5,1,100000001,510000000460,
15.8822,,Segment,4,5,Image 1,4,1,100000001,510000000466,
28.798,,Segment,4,4,Image 1,3,1,100000001,510000000491,
16.7478,,Segment,4,3,Image 1,2,1,100000001,510000000497,
38.5709,,Segment,4,2,Image 1,2,1,100000001,510000000530,
