
Segment Branch Depth
 ==================== 
Segment Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
17,,Segment,17,8,1,100000003,510000000015,
16,,Segment,16,8,1,100000003,510000000019,
15,,Segment,15,8,1,100000003,510000000024,
14,,Segment,14,7,1,100000003,510000000040,
13,,Segment,13,7,1,100000003,510000000042,
12,,Segment,12,7,1,100000003,510000000131,
11,,Segment,11,6,1,100000003,510000000144,
10,,Segment,10,5,1,100000003,510000000154,
9,,Segment,9,4,1,100000003,510000000172,
8,,Segment,8,3,1,100000003,510000000188,
7,,Segment,7,3,1,100000003,510000000200,
6,,Segment,6,3,1,100000003,510000000205,
5,,Segment,5,3,1,100000003,510000000220,
4,,Segment,4,2,1,100000003,510000000227,
3,,Segment,3,2,1,100000003,510000000241,
2,,Segment,2,1,1,100000003,510000000251,
1,,Segment,1,1,1,100000003,510000000260,
0,,Segment,0,1,1,100000003,510000000272,
17,,Segment,17,9,1,100000003,510000000299,
16,,Segment,16,9,1,100000003,510000000304,
14,,Segment,14,8,1,100000003,510000000308,
15,,Segment,15,7,1,100000003,510000000310,
13,,Segment,13,8,1,100000003,510000000324,
6,,Segment,6,3,1,100000003,510000000334,
5,,Segment,5,3,1,100000003,510000000387,
4,,Segment,4,3,1,100000003,510000000404,
3,,Segment,3,2,1,100000003,510000000417,
2,,Segment,2,2,1,100000003,510000000427,
6,,Segment,6,4,1,100000003,510000000430,
5,,Segment,5,4,1,100000003,510000000433,
9,,Segment,9,6,1,100000001,510000000440,
8,,Segment,8,5,1,100000001,510000000442,
7,,Segment,7,5,1,100000001,510000000452,
6,,Segment,6,5,1,100000001,510000000460,
5,,Segment,5,4,1,100000001,510000000466,
4,,Segment,4,3,1,100000001,510000000491,
3,,Segment,3,2,1,100000001,510000000497,
2,,Segment,2,2,1,100000001,510000000530,
1,,Segment,1,1,1,100000001,510000000631,
0,,Segment,0,1,1,100000001,510000000660,
8,,Segment,8,6,1,100000001,510000000666,
9,,Segment,9,5,1,100000001,510000000668,
7,,Segment,7,6,1,100000001,510000000671,
5,,Segment,5,3,1,100000001,510000000680,
6,,Segment,6,4,1,100000001,510000000682,
9,,Segment,9,4,1,100000003,510000000704,
8,,Segment,8,4,1,100000003,510000000760,
7,,Segment,7,4,1,100000003,510000000762,
6,,Segment,6,4,1,100000003,510000000775,
5,,Segment,5,3,1,100000003,510000000798,
4,,Segment,4,2,1,100000003,510000000806,
3,,Segment,3,2,1,100000003,510000000828,
1,,Segment,1,1,1,100000003,510000000845,
0,,Segment,0,1,1,100000003,510000000864,
9,,Segment,9,5,1,100000003,510000000901,
7,,Segment,7,5,1,100000003,510000000925,
8,,Segment,8,5,1,100000003,510000000928,
6,,Segment,6,3,1,100000003,510000000961,
5,,Segment,5,2,1,100000003,510000001005,
4,,Segment,4,1,1,100000003,510000001014,
3,,Segment,3,1,1,100000003,510000001044,
8,,Segment,8,4,1,100000003,510000001046,
7,,Segment,7,3,1,100000003,510000001048,
6,,Segment,6,2,1,100000003,510000001053,
7,,Segment,7,2,1,100000003,510000001055,
3,,Segment,3,2,1,100000002,510000001060,
