
Spine Mean Diameter
 ==================== 
Spine Mean Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.193873,µm,Spine,12,7,1,100000003,610000003961,
0.246648,µm,Spine,3,2,1,100000003,610000003967,
0.179418,µm,Spine,1,1,1,100000001,610000003984,
0.229138,µm,Spine,2,3,1,100000001,610000003988,
0.351007,µm,Spine,0,1,1,100000003,610000004015,
0.307325,µm,Spine,0,1,1,100000001,610000004026,
0.238336,µm,Spine,9,3,1,100000000,610000004030,
0.360076,µm,Spine,0,1,1,100000003,610000004053,
0.317006,µm,Spine,0,1,1,100000000,610000004056,
0.272504,µm,Spine,3,2,1,100000002,610000004060,
0.175775,µm,Spine,0,1,1,100000003,610000004070,
0.37943,µm,Spine,0,1,1,100000003,610000004087,
0.245368,µm,Spine,16,4,1,100000000,610000004090,
0.307702,µm,Spine,0,1,1,100000003,610000004108,
0.54742,µm,Spine,3,1,1,100000000,610000004111,
0.353736,µm,Spine,0,1,1,100000001,610000004118,
0.190139,µm,Spine,2,1,1,100000000,610000004122,
0.296111,µm,Spine,6,2,1,100000000,610000004126,
0.392409,µm,Spine,0,1,1,100000003,610000004141,
0.369448,µm,Spine,0,1,1,100000001,610000004147,
0.556035,µm,Spine,0,1,1,100000002,610000004150,
0.282516,µm,Spine,10,3,1,100000000,610000004152,
0.252238,µm,Spine,11,4,1,100000000,610000004155,
0.295371,µm,Spine,3,2,1,100000002,610000004157,
0.589827,µm,Spine,0,1,1,100000000,610000004162,
0.336926,µm,Spine,3,1,1,100000003,610000004166,
0.625874,µm,Spine,2,3,1,100000001,610000004171,
0.184625,µm,Spine,0,1,1,100000003,610000004177,
0.2858,µm,Spine,2,1,1,100000002,610000004179,
0.306512,µm,Spine,1,2,1,100000002,610000004181,
0.218606,µm,Spine,4,3,1,100000003,610000004184,
0.270336,µm,Spine,1,1,1,100000000,610000004186,
0.419727,µm,Spine,0,1,1,100000001,610000004191,
0.292714,µm,Spine,0,1,1,100000003,610000004197,
0.297258,µm,Spine,0,1,1,100000003,610000004199,
0.419912,µm,Spine,1,1,1,100000001,610000004202,
0.324002,µm,Spine,1,1,1,100000003,610000004207,
0.438272,µm,Spine,0,1,1,100000003,610000004216,
0.247605,µm,Spine,2,3,1,100000001,610000004220,
0.362598,µm,Spine,5,3,1,100000003,610000004223,
0.234799,µm,Spine,5,2,1,100000002,610000004228,
0.286775,µm,Spine,5,2,1,100000001,610000004231,
0.353143,µm,Spine,0,1,1,100000000,610000004238,
0.357126,µm,Spine,5,3,1,100000000,610000004241,
0.363788,µm,Spine,1,2,1,100000001,610000004244,
0.484386,µm,Spine,1,1,1,100000002,610000004248,
0.358628,µm,Spine,0,1,1,100000001,610000004255,
0.353722,µm,Spine,0,1,1,100000002,610000004259,
0.480867,µm,Spine,0,1,1,100000001,610000004262,
0.309107,µm,Spine,0,1,1,100000001,610000004268,
0.24375,µm,Spine,2,3,1,100000001,610000004271,
0.194984,µm,Spine,4,2,1,100000001,610000004274,
0.341944,µm,Spine,2,3,1,100000001,610000004280,
0.293133,µm,Spine,2,1,1,100000002,610000004282,
0.446008,µm,Spine,1,1,1,100000002,610000004288,
0.543349,µm,Spine,0,1,1,100000002,610000004293,
0.425082,µm,Spine,1,1,1,100000002,610000004295,
0.321025,µm,Spine,4,1,1,100000000,610000004298,
0.564937,µm,Spine,0,1,1,100000001,610000004301,
0.293016,µm,Spine,7,3,1,100000000,610000004303,
0.281573,µm,Spine,2,1,1,100000000,610000004306,
0.321997,µm,Spine,1,1,1,100000001,610000004310,
0.444925,µm,Spine,0,1,1,100000003,610000004314,
0.238972,µm,Spine,1,2,1,100000001,610000004317,
0.317366,µm,Spine,2,3,1,100000001,610000004320,
0.706075,µm,Spine,0,1,1,100000000,610000004324,
0.353049,µm,Spine,0,1,1,100000001,610000004327,
0.341479,µm,Spine,0,1,1,100000000,610000004330,
0.363297,µm,Spine,0,1,1,100000002,610000004333,
0.218106,µm,Spine,2,3,1,100000001,610000004336,
0.424527,µm,Spine,0,1,1,100000000,610000004340,
0.246988,µm,Spine,5,2,1,100000002,610000004342,
0.279822,µm,Spine,0,1,1,100000002,610000004344,
0.282421,µm,Spine,9,4,1,100000003,610000004347,
0.255057,µm,Spine,9,4,1,100000003,610000004349,
0.507488,µm,Spine,0,1,1,100000003,610000004355,
0.412985,µm,Spine,0,1,1,100000002,610000004359,
0.284252,µm,Spine,0,1,1,100000003,610000004363,
0.253874,µm,Spine,0,1,1,100000003,610000004367,
0.666743,µm,Spine,0,1,1,100000003,610000004373,
0.328108,µm,Spine,0,1,1,100000001,610000004377,
0.238631,µm,Spine,1,1,1,100000001,610000004380,
0.299461,µm,Spine,2,3,1,100000001,610000004382,
0.407443,µm,Spine,1,1,1,100000003,610000004386,
0.344929,µm,Spine,0,1,1,100000000,610000004390,
0.344773,µm,Spine,12,7,1,100000003,610000004392,
0.429267,µm,Spine,1,1,1,100000001,610000004394,
0.279697,µm,Spine,2,3,1,100000001,610000004397,
0.435741,µm,Spine,0,1,1,100000000,610000004404,
0.526825,µm,Spine,1,1,1,100000002,610000004407,
0.365167,µm,Spine,0,1,1,100000003,610000004409,
0.378557,µm,Spine,7,3,1,100000001,610000004412,
0.280707,µm,Spine,0,1,1,100000003,610000004415,
0.72244,µm,Spine,0,1,1,100000002,610000004418,
0.24906,µm,Spine,4,3,1,100000003,610000004424,
0.321494,µm,Spine,2,3,1,100000001,610000004426,
0.259754,µm,Spine,3,2,1,100000003,610000004429,
0.645497,µm,Spine,0,1,1,100000002,610000004433,
0.176782,µm,Spine,0,1,1,100000003,610000004435,
0.411091,µm,Spine,0,1,1,100000001,610000004438,
0.469247,µm,Spine,0,1,1,100000001,610000004442,
0.293359,µm,Spine,2,3,1,100000001,610000004444,
0.385952,µm,Spine,3,1,1,100000003,610000004446,
0.243478,µm,Spine,2,3,1,100000001,610000004448,
0.579543,µm,Spine,0,1,1,100000003,610000004454,
0.2865,µm,Spine,0,1,1,100000001,610000004457,
0.233028,µm,Spine,1,1,1,100000001,610000004460,
0.546888,µm,Spine,0,1,1,100000002,610000004462,
0.297177,µm,Spine,1,2,1,100000001,610000004464,
0.406379,µm,Spine,2,3,1,100000001,610000004468,
