
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
0,1/10µm,Segment,17,8,1,100000003,510000000015,
0,1/10µm,Segment,16,8,1,100000003,510000000019,
0,1/10µm,Segment,15,8,1,100000003,510000000024,
0,1/10µm,Segment,14,7,1,100000003,510000000040,
0,1/10µm,Segment,13,7,1,100000003,510000000042,
3.85395,1/10µm,Segment,12,7,1,100000003,510000000131,
6.54136,1/10µm,Segment,11,6,1,100000003,510000000144,
0,1/10µm,Segment,10,5,1,100000003,510000000154,
0,1/10µm,Segment,9,4,1,100000003,510000000172,
0,1/10µm,Segment,8,3,1,100000003,510000000188,
0,1/10µm,Segment,7,3,1,100000003,510000000200,
0,1/10µm,Segment,6,3,1,100000003,510000000205,
0,1/10µm,Segment,5,3,1,100000003,510000000220,
0,1/10µm,Segment,4,2,1,100000003,510000000227,
5.23287,1/10µm,Segment,3,2,1,100000003,510000000241,
9.44718,1/10µm,Segment,2,1,1,100000003,510000000251,
0,1/10µm,Segment,1,1,1,100000003,510000000260,
64.1109,1/10µm,Segment,0,1,1,100000003,510000000272,
0,1/10µm,Segment,17,9,1,100000003,510000000299,
12.4208,1/10µm,Segment,16,9,1,100000003,510000000304,
0,1/10µm,Segment,14,8,1,100000003,510000000308,
0,1/10µm,Segment,15,7,1,100000003,510000000310,
0,1/10µm,Segment,13,8,1,100000003,510000000324,
0,1/10µm,Segment,6,3,1,100000003,510000000334,
13.13,1/10µm,Segment,5,3,1,100000003,510000000387,
0,1/10µm,Segment,4,3,1,100000003,510000000404,
0,1/10µm,Segment,3,2,1,100000003,510000000417,
0,1/10µm,Segment,2,2,1,100000003,510000000427,
0,1/10µm,Segment,6,4,1,100000003,510000000430,
0,1/10µm,Segment,5,4,1,100000003,510000000433,
0,1/10µm,Segment,9,6,1,100000001,510000000440,
43.4713,1/10µm,Segment,8,5,1,100000001,510000000442,
0,1/10µm,Segment,7,5,1,100000001,510000000452,
0,1/10µm,Segment,6,5,1,100000001,510000000460,
0,1/10µm,Segment,5,4,1,100000001,510000000466,
0,1/10µm,Segment,4,3,1,100000001,510000000491,
0,1/10µm,Segment,3,2,1,100000001,510000000497,
2.8732,1/10µm,Segment,2,2,1,100000001,510000000530,
14.893,1/10µm,Segment,1,1,1,100000001,510000000631,
56.4844,1/10µm,Segment,0,1,1,100000001,510000000660,
0,1/10µm,Segment,8,6,1,100000001,510000000666,
0,1/10µm,Segment,9,5,1,100000001,510000000668,
23.0264,1/10µm,Segment,7,6,1,100000001,510000000671,
0,1/10µm,Segment,5,3,1,100000001,510000000680,
0,1/10µm,Segment,6,4,1,100000001,510000000682,
17.9333,1/10µm,Segment,9,4,1,100000003,510000000704,
4.15206,1/10µm,Segment,8,4,1,100000003,510000000760,
0,1/10µm,Segment,7,4,1,100000003,510000000762,
0,1/10µm,Segment,6,4,1,100000003,510000000775,
0,1/10µm,Segment,5,3,1,100000003,510000000798,
0,1/10µm,Segment,4,2,1,100000003,510000000806,
0,1/10µm,Segment,3,2,1,100000003,510000000828,
13.3977,1/10µm,Segment,1,1,1,100000003,510000000845,
0,1/10µm,Segment,0,1,1,100000003,510000000864,
0,1/10µm,Segment,9,5,1,100000003,510000000901,
11.6197,1/10µm,Segment,7,5,1,100000003,510000000925,
18.158,1/10µm,Segment,8,5,1,100000003,510000000928,
0,1/10µm,Segment,6,3,1,100000003,510000000961,
2.86145,1/10µm,Segment,5,2,1,100000003,510000001005,
0,1/10µm,Segment,4,1,1,100000003,510000001014,
7.29179,1/10µm,Segment,3,1,1,100000003,510000001044,
0,1/10µm,Segment,8,4,1,100000003,510000001046,
0,1/10µm,Segment,7,3,1,100000003,510000001048,
0,1/10µm,Segment,6,2,1,100000003,510000001053,
0,1/10µm,Segment,7,2,1,100000003,510000001055,
0,1/10µm,Segment,3,2,1,100000002,510000001060,
1.68284,1/10µm,Segment,2,1,1,100000002,510000001122,
0,1/10µm,Segment,1,1,1,100000002,510000001124,
23.6487,1/10µm,Segment,0,1,1,100000002,510000001158,
0,1/10µm,Segment,3,1,1,100000002,510000001173,
0,1/10µm,Segment,2,2,1,100000002,510000001187,
0,1/10µm,Segment,1,2,1,100000002,510000001190,
0,1/10µm,Segment,3,2,1,100000002,510000001215,
5.01621,1/10µm,Segment,2,1,1,100000002,510000001237,
24.2786,1/10µm,Segment,1,1,1,100000002,510000001249,
0,1/10µm,Segment,0,1,1,100000002,510000001262,
0,1/10µm,Segment,3,2,1,100000002,510000001287,
0,1/10µm,Segment,2,2,1,100000002,510000001308,
0,1/10µm,Segment,1,2,1,100000002,510000001315,
0,1/10µm,Segment,3,1,1,100000002,510000001321,
0,1/10µm,Segment,2,2,1,100000002,510000001352,
0,1/10µm,Segment,3,3,1,100000002,510000001358,
0,1/10µm,Segment,2,3,1,100000002,510000001361,
2.98631,1/10µm,Segment,7,3,1,100000001,510000001404,
0,1/10µm,Segment,6,3,1,100000001,510000001415,
10.0487,1/10µm,Segment,5,2,1,100000001,510000001426,
9.6558,1/10µm,Segment,4,2,1,100000001,510000001446,
0,1/10µm,Segment,2,2,1,100000001,510000001451,
12.6423,1/10µm,Segment,1,2,1,100000001,510000001463,
0,1/10µm,Segment,0,1,1,100000001,510000001466,
0,1/10µm,Segment,7,4,1,100000001,510000001495,
0,1/10µm,Segment,6,2,1,100000001,510000001498,
0,1/10µm,Segment,13,7,1,100000003,510000001505,
31.4537,1/10µm,Segment,13,6,1,100000003,510000001508,
22.5107,1/10µm,Segment,11,5,1,100000003,510000001515,
0,1/10µm,Segment,4,2,1,100000001,510000001521,
0,1/10µm,Segment,3,3,1,100000001,510000001525,
