
Soma Intensity Max Ch=2 Img=1
 ==================== 
Soma Intensity Max,Unit,Category,Channel,Image,Time,FilamentID,ID,
200,,Soma,2,Image 1,1,100000000,800000000,
200,,Soma,2,Image 1,1,100000001,800000001,
196,,Soma,2,Image 1,1,100000002,800000002,
194,,Soma,2,Image 1,1,100000003,800000003,
