
Spine Part Max Diameter Neck
 ==================== 
Spine Part Max Diameter Neck,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.1625,µm,Spine,Spine Part Max Diameter,12,7,1,100000003,610000003961,
0.241219,µm,Spine,Spine Part Max Diameter,3,2,1,100000003,610000003967,
0.1625,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000003984,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000003988,
0.385031,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004015,
0.24375,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004026,
0,µm,Spine,Spine Part Max Diameter,9,3,1,100000000,610000004030,
0.385031,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004053,
0.31714,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004056,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000004060,
0.163824,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004070,
0.385031,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004087,
0.264062,µm,Spine,Spine Part Max Diameter,16,4,1,100000000,610000004090,
0.341748,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004108,
0.454098,µm,Spine,Spine Part Max Diameter,3,1,1,100000000,610000004111,
0.470068,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004118,
0.1625,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000004122,
0,µm,Spine,Spine Part Max Diameter,6,2,1,100000000,610000004126,
0.385031,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004141,
0.470068,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004147,
0.710782,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000004150,
0,µm,Spine,Spine Part Max Diameter,10,3,1,100000000,610000004152,
0.235694,µm,Spine,Spine Part Max Diameter,11,4,1,100000000,610000004155,
0,µm,Spine,Spine Part Max Diameter,3,2,1,100000002,610000004157,
0.633922,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004162,
0,µm,Spine,Spine Part Max Diameter,3,1,1,100000003,610000004166,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000004171,
0.167795,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004177,
0,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000004179,
0,µm,Spine,Spine Part Max Diameter,1,2,1,100000002,610000004181,
0.217977,µm,Spine,Spine Part Max Diameter,4,3,1,100000003,610000004184,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000000,610000004186,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004191,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004197,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004199,
0.308952,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000004202,
0.270763,µm,Spine,Spine Part Max Diameter,1,1,1,100000003,610000004207,
0.391042,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004216,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000004220,
0.345795,µm,Spine,Spine Part Max Diameter,5,3,1,100000003,610000004223,
0,µm,Spine,Spine Part Max Diameter,5,2,1,100000002,610000004228,
0.273622,µm,Spine,Spine Part Max Diameter,5,2,1,100000001,610000004231,
0.345312,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004238,
0,µm,Spine,Spine Part Max Diameter,5,3,1,100000000,610000004241,
0.352875,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000004244,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000004248,
0.422455,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004255,
0.346716,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000004259,
0.613147,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004262,
0.297967,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004268,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000004271,
0,µm,Spine,Spine Part Max Diameter,4,2,1,100000001,610000004274,
0.372999,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000004280,
0,µm,Spine,Spine Part Max Diameter,2,1,1,100000002,610000004282,
0.359066,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000004288,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000002,610000004293,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000002,610000004295,
0.326633,µm,Spine,Spine Part Max Diameter,4,1,1,100000000,610000004298,
0.613377,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004301,
0,µm,Spine,Spine Part Max Diameter,7,3,1,100000000,610000004303,
0,µm,Spine,Spine Part Max Diameter,2,1,1,100000000,610000004306,
0,µm,Spine,Spine Part Max Diameter,1,1,1,100000001,610000004310,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000003,610000004314,
0.169704,µm,Spine,Spine Part Max Diameter,1,2,1,100000001,610000004317,
0,µm,Spine,Spine Part Max Diameter,2,3,1,100000001,610000004320,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004324,
0.407775,µm,Spine,Spine Part Max Diameter,0,1,1,100000001,610000004327,
0,µm,Spine,Spine Part Max Diameter,0,1,1,100000000,610000004330,
