
Spine Branch Depth
 ==================== 
Spine Branch Depth,Unit,Category,Depth,Level,Time,FilamentID,ID,
12,,Spine,12,7,1,100000003,610000003961,
3,,Spine,3,2,1,100000003,610000003967,
1,,Spine,1,1,1,100000001,610000003984,
2,,Spine,2,3,1,100000001,610000003988,
0,,Spine,0,1,1,100000003,610000004015,
0,,Spine,0,1,1,100000001,610000004026,
9,,Spine,9,3,1,100000000,610000004030,
0,,Spine,0,1,1,100000003,610000004053,
0,,Spine,0,1,1,100000000,610000004056,
3,,Spine,3,2,1,100000002,610000004060,
-1,,Spine,0,1,1,100000003,610000004070,
0,,Spine,0,1,1,100000003,610000004087,
16,,Spine,16,4,1,100000000,610000004090,
-1,,Spine,0,1,1,100000003,610000004108,
3,,Spine,3,1,1,100000000,610000004111,
0,,Spine,0,1,1,100000001,610000004118,
2,,Spine,2,1,1,100000000,610000004122,
6,,Spine,6,2,1,100000000,610000004126,
0,,Spine,0,1,1,100000003,610000004141,
0,,Spine,0,1,1,100000001,610000004147,
0,,Spine,0,1,1,100000002,610000004150,
10,,Spine,10,3,1,100000000,610000004152,
11,,Spine,11,4,1,100000000,610000004155,
3,,Spine,3,2,1,100000002,610000004157,
0,,Spine,0,1,1,100000000,610000004162,
3,,Spine,3,1,1,100000003,610000004166,
-1,,Spine,2,3,1,100000001,610000004171,
-1,,Spine,0,1,1,100000003,610000004177,
2,,Spine,2,1,1,100000002,610000004179,
1,,Spine,1,2,1,100000002,610000004181,
4,,Spine,4,3,1,100000003,610000004184,
1,,Spine,1,1,1,100000000,610000004186,
0,,Spine,0,1,1,100000001,610000004191,
-1,,Spine,0,1,1,100000003,610000004197,
-1,,Spine,0,1,1,100000003,610000004199,
1,,Spine,1,1,1,100000001,610000004202,
1,,Spine,1,1,1,100000003,610000004207,
0,,Spine,0,1,1,100000003,610000004216,
2,,Spine,2,3,1,100000001,610000004220,
5,,Spine,5,3,1,100000003,610000004223,
5,,Spine,5,2,1,100000002,610000004228,
5,,Spine,5,2,1,100000001,610000004231,
-1,,Spine,0,1,1,100000000,610000004238,
5,,Spine,5,3,1,100000000,610000004241,
1,,Spine,1,2,1,100000001,610000004244,
1,,Spine,1,1,1,100000002,610000004248,
0,,Spine,0,1,1,100000001,610000004255,
-1,,Spine,0,1,1,100000002,610000004259,
0,,Spine,0,1,1,100000001,610000004262,
0,,Spine,0,1,1,100000001,610000004268,
-1,,Spine,2,3,1,100000001,610000004271,
4,,Spine,4,2,1,100000001,610000004274,
-1,,Spine,2,3,1,100000001,610000004280,
2,,Spine,2,1,1,100000002,610000004282,
1,,Spine,1,1,1,100000002,610000004288,
-1,,Spine,0,1,1,100000002,610000004293,
1,,Spine,1,1,1,100000002,610000004295,
4,,Spine,4,1,1,100000000,610000004298,
0,,Spine,0,1,1,100000001,610000004301,
7,,Spine,7,3,1,100000000,610000004303,
2,,Spine,2,1,1,100000000,610000004306,
1,,Spine,1,1,1,100000001,610000004310,
0,,Spine,0,1,1,100000003,610000004314,
1,,Spine,1,2,1,100000001,610000004317,
-1,,Spine,2,3,1,100000001,610000004320,
-1,,Spine,0,1,1,100000000,610000004324,
0,,Spine,0,1,1,100000001,610000004327,
0,,Spine,0,1,1,100000000,610000004330,
-1,,Spine,0,1,1,100000002,610000004333,
-1,,Spine,2,3,1,100000001,610000004336,
0,,Spine,0,1,1,100000000,610000004340,
5,,Spine,5,2,1,100000002,610000004342,
0,,Spine,0,1,1,100000002,610000004344,
9,,Spine,9,4,1,100000003,610000004347,
9,,Spine,9,4,1,100000003,610000004349,
0,,Spine,0,1,1,100000003,610000004355,
-1,,Spine,0,1,1,100000002,610000004359,
-1,,Spine,0,1,1,100000003,610000004363,
-1,,Spine,0,1,1,100000003,610000004367,
-1,,Spine,0,1,1,100000003,610000004373,
0,,Spine,0,1,1,100000001,610000004377,
1,,Spine,1,1,1,100000001,610000004380,
-1,,Spine,2,3,1,100000001,610000004382,
1,,Spine,1,1,1,100000003,610000004386,
-1,,Spine,0,1,1,100000000,610000004390,
12,,Spine,12,7,1,100000003,610000004392,
1,,Spine,1,1,1,100000001,610000004394,
-1,,Spine,2,3,1,100000001,610000004397,
-1,,Spine,0,1,1,100000000,610000004404,
1,,Spine,1,1,1,100000002,610000004407,
0,,Spine,0,1,1,100000003,610000004409,
7,,Spine,7,3,1,100000001,610000004412,
-1,,Spine,0,1,1,100000003,610000004415,
0,,Spine,0,1,1,100000002,610000004418,
4,,Spine,4,3,1,100000003,610000004424,
-1,,Spine,2,3,1,100000001,610000004426,
3,,Spine,3,2,1,100000003,610000004429,
-1,,Spine,0,1,1,100000002,610000004433,
-1,,Spine,0,1,1,100000003,610000004435,
0,,Spine,0,1,1,100000001,610000004438,
0,,Spine,0,1,1,100000001,610000004442,
-1,,Spine,2,3,1,100000001,610000004444,
3,,Spine,3,1,1,100000003,610000004446,
-1,,Spine,2,3,1,100000001,610000004448,
-1,,Spine,0,1,1,100000003,610000004454,
0,,Spine,0,1,1,100000001,610000004457,
1,,Spine,1,1,1,100000001,610000004460,
-1,,Spine,0,1,1,100000002,610000004462,
1,,Spine,1,2,1,100000001,610000004464,
-1,,Spine,2,3,1,100000001,610000004468,
-1,,Spine,0,1,1,100000003,610000004470,
-1,,Spine,0,1,1,100000000,610000004473,
0,,Spine,0,1,1,100000003,610000004476,
5,,Spine,5,3,1,100000003,610000004478,
3,,Spine,3,1,1,100000000,610000004480,
-1,,Spine,2,3,1,100000001,610000004482,
-1,,Spine,2,3,1,100000001,610000004484,
0,,Spine,0,1,1,100000001,610000004489,
-1,,Spine,0,1,1,100000002,610000004491,
-1,,Spine,2,3,1,100000001,610000004494,
0,,Spine,0,1,1,100000002,610000004497,
10,,Spine,10,3,1,100000000,610000004499,
1,,Spine,1,1,1,100000001,610000004502,
-1,,Spine,0,1,1,100000002,610000004508,
-1,,Spine,2,3,1,100000001,610000004511,
-1,,Spine,0,1,1,100000003,610000004513,
-1,,Spine,2,3,1,100000001,610000004519,
6,,Spine,6,2,1,100000000,610000004524,
-1,,Spine,0,1,1,100000003,610000004526,
-1,,Spine,0,1,1,100000000,610000004530,
1,,Spine,1,1,1,100000002,610000004532,
1,,Spine,1,1,1,100000002,610000004535,
0,,Spine,0,1,1,100000000,610000004538,
1,,Spine,1,1,1,100000001,610000004543,
-1,,Spine,0,1,1,100000000,610000004562,
18,,Spine,18,4,1,100000000,610000004597,
16,,Spine,16,4,1,100000000,610000004598,
16,,Spine,16,4,1,100000000,610000004599,
5,,Spine,5,1,1,100000000,610000004600,
3,,Spine,3,1,1,100000000,610000004601,
