
Soma Ellipsoid Axis C Z
 ==================== 
Soma Ellipsoid Axis C Z,Unit,Category,Collection,Time,FilamentID,ID,
-0.422856,µm,Soma,Soma Ellipsoid Axis C,1,100000000,800000000,
-0.357945,µm,Soma,Soma Ellipsoid Axis C,1,100000001,800000001,
-0.613345,µm,Soma,Soma Ellipsoid Axis C,1,100000002,800000002,
0.707803,µm,Soma,Soma Ellipsoid Axis C,1,100000003,800000003,
0.895875,µm,Soma,Soma Ellipsoid Axis C,1,100000004,800000004,
0.826859,µm,Soma,Soma Ellipsoid Axis C,1,100000005,800000005,
0.15619,µm,Soma,Soma Ellipsoid Axis C,1,100000006,800000006,
