
Overall
 ==================== 
Variable,Value,Unit,Image,Time,ID,
Filament Number of Filaments per Time Point,7,,,1,,
Filament Number of Tracks,0,,,,,
Filament Total Number of Filaments,7,,,,,
Pt Number of Tracks,0,,,,,
Pt Total Number of Points,1045,,,,,
Soma Number of Disconnected Components per Time Point,7,,,1,,
Soma Number of Somas per Time Point,7,,,1,,
Soma Number of Tracks,0,,,,,
Soma Total Number of Disconnected Components,7,,,,,
Soma Total Number of Somas,7,,,,,
Soma Total Number of Triangles,100008,,,,,
Soma Total Number of Voxels,129424,,Image 1,,,
