
Soma Number of Triangles
 ==================== 
Soma Number of Triangles,Unit,Category,Time,FilamentID,ID,
9772,,Soma,1,100000000,800000000,
13804,,Soma,1,100000001,800000001,
17008,,Soma,1,100000002,800000002,
8080,,Soma,1,100000003,800000003,
13940,,Soma,1,100000004,800000004,
11948,,Soma,1,100000005,800000005,
25456,,Soma,1,100000006,800000006,
