
Spine Attachment Pt Position Y
 ==================== 
Spine Attachment Pt Position Y,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
20809.4,µm,Spine,Spine Attachment Pt Position,10,3,1,100000003,610000006844,
20836.7,µm,Spine,Spine Attachment Pt Position,5,2,1,100000001,610000006908,
20842.3,µm,Spine,Spine Attachment Pt Position,1,2,1,100000002,610000006936,
20900.2,µm,Spine,Spine Attachment Pt Position,12,7,1,100000006,610000006941,
20813.4,µm,Spine,Spine Attachment Pt Position,11,3,1,100000002,610000006957,
20812.3,µm,Spine,Spine Attachment Pt Position,6,3,1,100000001,610000006972,
20799.5,µm,Spine,Spine Attachment Pt Position,2,3,1,100000004,610000006992,
20849.9,µm,Spine,Spine Attachment Pt Position,8,3,1,100000001,610000007002,
20784.3,µm,Spine,Spine Attachment Pt Position,1,1,1,100000004,610000007005,
20784.7,µm,Spine,Spine Attachment Pt Position,2,2,1,100000004,610000007032,
20817.4,µm,Spine,Spine Attachment Pt Position,4,1,1,100000002,610000007036,
20799.5,µm,Spine,Spine Attachment Pt Position,1,2,1,100000004,610000007038,
20883.1,µm,Spine,Spine Attachment Pt Position,1,1,1,100000005,610000007040,
20811.7,µm,Spine,Spine Attachment Pt Position,8,4,1,100000001,610000007046,
20827.5,µm,Spine,Spine Attachment Pt Position,3,2,1,100000001,610000007054,
20845.4,µm,Spine,Spine Attachment Pt Position,7,4,1,100000001,610000007085,
20802,µm,Spine,Spine Attachment Pt Position,10,4,1,100000003,610000007100,
20796.6,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000007103,
20877,µm,Spine,Spine Attachment Pt Position,10,2,1,100000006,610000007105,
20804,µm,Spine,Spine Attachment Pt Position,5,3,1,100000004,610000007108,
20840.3,µm,Spine,Spine Attachment Pt Position,8,4,1,100000001,610000007110,
20841.2,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000007121,
20824.4,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000007127,
20794.5,µm,Spine,Spine Attachment Pt Position,0,1,1,100000004,610000007133,
20842.9,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000007137,
20841.8,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000007159,
20845.4,µm,Spine,Spine Attachment Pt Position,2,2,1,100000001,610000007168,
20838.4,µm,Spine,Spine Attachment Pt Position,3,2,1,100000002,610000007176,
20810.8,µm,Spine,Spine Attachment Pt Position,7,3,1,100000001,610000007180,
20842.1,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000007206,
20870.2,µm,Spine,Spine Attachment Pt Position,0,1,1,100000005,610000007211,
20863.5,µm,Spine,Spine Attachment Pt Position,1,1,1,100000005,610000007219,
20877.2,µm,Spine,Spine Attachment Pt Position,5,4,1,100000006,610000007226,
20877.8,µm,Spine,Spine Attachment Pt Position,10,2,1,100000006,610000007233,
