
Spine Area
 ==================== 
Spine Area,Unit,Category,Depth,Level,Time,FilamentID,ID,
6.87621,µm^2,Spine,3,3,1,100000002,610000006820,
16.3444,µm^2,Spine,0,1,1,100000006,610000006838,
2.7933,µm^2,Spine,10,3,1,100000003,610000006841,
2.46917,µm^2,Spine,10,3,1,100000003,610000006844,
13.5124,µm^2,Spine,1,2,1,100000002,610000006852,
13.841,µm^2,Spine,1,2,1,100000002,610000006858,
14.6667,µm^2,Spine,0,1,1,100000006,610000006873,
11.5898,µm^2,Spine,1,2,1,100000002,610000006879,
13.6424,µm^2,Spine,0,1,1,100000006,610000006891,
11.1353,µm^2,Spine,3,3,1,100000001,610000006899,
7.75823,µm^2,Spine,0,1,1,100000001,610000006906,
7.33558,µm^2,Spine,5,2,1,100000001,610000006908,
10.7395,µm^2,Spine,0,1,1,100000006,610000006919,
4.47898,µm^2,Spine,4,1,1,100000002,610000006922,
5.58498,µm^2,Spine,1,1,1,100000004,610000006928,
3.64016,µm^2,Spine,3,3,1,100000002,610000006932,
8.43896,µm^2,Spine,1,2,1,100000002,610000006936,
8.06019,µm^2,Spine,12,7,1,100000006,610000006941,
14.4956,µm^2,Spine,0,1,1,100000002,610000006950,
6.09631,µm^2,Spine,1,1,1,100000004,610000006955,
2.89422,µm^2,Spine,11,3,1,100000002,610000006957,
3.86202,µm^2,Spine,0,1,1,100000006,610000006963,
10.6927,µm^2,Spine,1,1,1,100000004,610000006969,
4.31055,µm^2,Spine,6,3,1,100000001,610000006972,
7.91211,µm^2,Spine,0,1,1,100000002,610000006978,
2.71568,µm^2,Spine,0,1,1,100000001,610000006983,
17.5669,µm^2,Spine,16,5,1,100000003,610000006988,
6.11526,µm^2,Spine,2,3,1,100000004,610000006992,
1.83665,µm^2,Spine,16,5,1,100000003,610000006996,
16.342,µm^2,Spine,0,1,1,100000005,610000007000,
1.86815,µm^2,Spine,8,3,1,100000001,610000007002,
1.95221,µm^2,Spine,1,1,1,100000004,610000007005,
11.9399,µm^2,Spine,2,2,1,100000004,610000007010,
6.45383,µm^2,Spine,2,1,1,100000002,610000007014,
4.39042,µm^2,Spine,1,1,1,100000004,610000007018,
2.70802,µm^2,Spine,0,1,1,100000001,610000007021,
8.61794,µm^2,Spine,0,1,1,100000004,610000007025,
2.30986,µm^2,Spine,0,1,1,100000006,610000007030,
4.5683,µm^2,Spine,2,2,1,100000004,610000007032,
2.89739,µm^2,Spine,4,1,1,100000002,610000007036,
2.34036,µm^2,Spine,1,2,1,100000004,610000007038,
3.02887,µm^2,Spine,1,1,1,100000005,610000007040,
3.93876,µm^2,Spine,3,3,1,100000002,610000007044,
4.09301,µm^2,Spine,8,4,1,100000001,610000007046,
5.08449,µm^2,Spine,0,1,1,100000006,610000007049,
3.91387,µm^2,Spine,5,2,1,100000002,610000007051,
7.0619,µm^2,Spine,3,2,1,100000001,610000007054,
5.05879,µm^2,Spine,7,3,1,100000001,610000007056,
15.6544,µm^2,Spine,2,1,1,100000004,610000007061,
1.55918,µm^2,Spine,0,1,1,100000001,610000007065,
2.20421,µm^2,Spine,0,1,1,100000006,610000007070,
11.5978,µm^2,Spine,0,1,1,100000002,610000007076,
4.64305,µm^2,Spine,0,1,1,100000006,610000007079,
1.29202,µm^2,Spine,0,1,1,100000002,610000007083,
6.67944,µm^2,Spine,7,4,1,100000001,610000007085,
4.28399,µm^2,Spine,0,1,1,100000004,610000007088,
2.79059,µm^2,Spine,1,1,1,100000004,610000007091,
3.62069,µm^2,Spine,0,1,1,100000006,610000007094,
6.12423,µm^2,Spine,10,4,1,100000003,610000007100,
6.91666,µm^2,Spine,0,1,1,100000004,610000007103,
2.83227,µm^2,Spine,10,2,1,100000006,610000007105,
4.40001,µm^2,Spine,5,3,1,100000004,610000007108,
4.03354,µm^2,Spine,8,4,1,100000001,610000007110,
1.16307,µm^2,Spine,1,1,1,100000000,610000007112,
2.06305,µm^2,Spine,3,1,1,100000001,610000007115,
1.0325,µm^2,Spine,0,1,1,100000002,610000007119,
3.67342,µm^2,Spine,0,1,1,100000002,610000007121,
1.7704,µm^2,Spine,0,1,1,100000006,610000007124,
5.28628,µm^2,Spine,1,1,1,100000002,610000007127,
1.28634,µm^2,Spine,0,1,1,100000006,610000007130,
5.85024,µm^2,Spine,0,1,1,100000004,610000007133,
5.03415,µm^2,Spine,1,1,1,100000002,610000007137,
7.40438,µm^2,Spine,0,1,1,100000002,610000007146,
4.42167,µm^2,Spine,0,1,1,100000002,610000007151,
4.91119,µm^2,Spine,0,1,1,100000004,610000007153,
2.09112,µm^2,Spine,0,1,1,100000006,610000007156,
3.35138,µm^2,Spine,0,1,1,100000002,610000007159,
3.03587,µm^2,Spine,0,1,1,100000002,610000007165,
8.44262,µm^2,Spine,2,2,1,100000001,610000007168,
8.23044,µm^2,Spine,3,2,1,100000002,610000007176,
6.05854,µm^2,Spine,7,3,1,100000001,610000007180,
