
Spine Part Mean Diameter Ground
 ==================== 
Spine Part Mean Diameter Ground,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
0.236023,µm,Spine,Spine Part Mean Diameter,4,2,1,100000002,610000002554,
0.285266,µm,Spine,Spine Part Mean Diameter,2,2,1,100000000,610000002557,
0.221662,µm,Spine,Spine Part Mean Diameter,9,1,1,100000002,610000002559,
0.267713,µm,Spine,Spine Part Mean Diameter,8,2,1,100000001,610000002562,
0.249886,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002566,
0.327347,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002571,
0.359717,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002578,
0.260962,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002581,
0.244049,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002584,
0.356958,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002590,
0.336018,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000002592,
0.38472,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002600,
0.3558,µm,Spine,Spine Part Mean Diameter,0,1,1,100000001,610000002603,
0.307054,µm,Spine,Spine Part Mean Diameter,4,5,1,100000000,610000002605,
0.510917,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002609,
0.387208,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002613,
0.529306,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002616,
0.243305,µm,Spine,Spine Part Mean Diameter,4,5,1,100000000,610000002619,
0.398888,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002621,
0.339917,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002624,
0.386181,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002630,
0.399805,µm,Spine,Spine Part Mean Diameter,3,2,1,100000002,610000002633,
0.427319,µm,Spine,Spine Part Mean Diameter,4,1,1,100000002,610000002640,
0.427565,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002643,
0.373577,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002645,
0.366127,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002648,
0.364945,µm,Spine,Spine Part Mean Diameter,5,1,1,100000002,610000002651,
0.338597,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002654,
0.398776,µm,Spine,Spine Part Mean Diameter,3,1,1,100000002,610000002658,
0.315341,µm,Spine,Spine Part Mean Diameter,1,2,1,100000000,610000002660,
0.307448,µm,Spine,Spine Part Mean Diameter,1,2,1,100000002,610000002663,
0.354247,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002666,
0.440485,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002668,
0.410153,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002670,
0.282638,µm,Spine,Spine Part Mean Diameter,4,3,1,100000002,610000002674,
