
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-2.244,3.08101,µm^3,Volume Inside,Image 1,1,,
-2.108,7.79547,µm^3,Volume Inside,Image 1,1,,
-1.972,11.7608,µm^3,Volume Inside,Image 1,1,,
-1.836,17.4766,µm^3,Volume Inside,Image 1,1,,
-1.7,22.9563,µm^3,Volume Inside,Image 1,1,,
-1.564,30.1539,µm^3,Volume Inside,Image 1,1,,
-1.428,34.8426,µm^3,Volume Inside,Image 1,1,,
-1.292,41.8949,µm^3,Volume Inside,Image 1,1,,
-1.156,51.2452,µm^3,Volume Inside,Image 1,1,,
-1.02,56.2026,µm^3,Volume Inside,Image 1,1,,
-0.884,63.8434,µm^3,Volume Inside,Image 1,1,,
-0.748,74.3642,µm^3,Volume Inside,Image 1,1,,
-0.612,78.9472,µm^3,Volume Inside,Image 1,1,,
-0.476,87.3921,µm^3,Volume Inside,Image 1,1,,
-0.34,98.4169,µm^3,Volume Inside,Image 1,1,,
-0.204,99.4715,µm^3,Volume Inside,Image 1,1,,
-0.0680001,103.695,µm^3,Volume Inside,Image 1,1,,
