
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-2.244,3.08101,µm^3,Volume,Image 1,1,,
-2.108,7.79547,µm^3,Volume,Image 1,1,,
-1.972,11.7608,µm^3,Volume,Image 1,1,,
-1.836,17.4766,µm^3,Volume,Image 1,1,,
-1.7,22.9563,µm^3,Volume,Image 1,1,,
-1.564,30.1539,µm^3,Volume,Image 1,1,,
-1.428,34.8426,µm^3,Volume,Image 1,1,,
-1.292,41.8949,µm^3,Volume,Image 1,1,,
-1.156,51.2452,µm^3,Volume,Image 1,1,,
-1.02,56.2026,µm^3,Volume,Image 1,1,,
-0.884,63.8434,µm^3,Volume,Image 1,1,,
-0.748,74.3642,µm^3,Volume,Image 1,1,,
-0.612,78.9472,µm^3,Volume,Image 1,1,,
-0.476,87.3921,µm^3,Volume,Image 1,1,,
-0.34,98.4169,µm^3,Volume,Image 1,1,,
-0.204,99.4715,µm^3,Volume,Image 1,1,,
-0.0679998,103.695,µm^3,Volume,Image 1,1,,
0.0680001,109.101,µm^3,Volume,Image 1,1,,
0.204,100.362,µm^3,Volume,Image 1,1,,
0.34,100.254,µm^3,Volume,Image 1,1,,
0.476,95.0642,µm^3,Volume,Image 1,1,,
0.612,95.0659,µm^3,Volume,Image 1,1,,
0.748,96.0111,µm^3,Volume,Image 1,1,,
0.884,94.2441,µm^3,Volume,Image 1,1,,
1.02,93.8296,µm^3,Volume,Image 1,1,,
1.156,92.8861,µm^3,Volume,Image 1,1,,
1.292,90.9159,µm^3,Volume,Image 1,1,,
1.428,88.6415,µm^3,Volume,Image 1,1,,
1.564,85.7578,µm^3,Volume,Image 1,1,,
1.7,82.7592,µm^3,Volume,Image 1,1,,
1.836,79.109,µm^3,Volume,Image 1,1,,
1.972,75.4213,µm^3,Volume,Image 1,1,,
2.108,71.5599,µm^3,Volume,Image 1,1,,
2.244,68.3183,µm^3,Volume,Image 1,1,,
2.38,65.3649,µm^3,Volume,Image 1,1,,
2.516,62.6684,µm^3,Volume,Image 1,1,,
2.652,60.4667,µm^3,Volume,Image 1,1,,
2.788,58.8302,µm^3,Volume,Image 1,1,,
2.924,57.2019,µm^3,Volume,Image 1,1,,
3.06,55.9939,µm^3,Volume,Image 1,1,,
3.196,54.5193,µm^3,Volume,Image 1,1,,
3.332,53.1351,µm^3,Volume,Image 1,1,,
3.468,51.8549,µm^3,Volume,Image 1,1,,
3.604,50.663,µm^3,Volume,Image 1,1,,
3.74,49.3113,µm^3,Volume,Image 1,1,,
3.876,48.2711,µm^3,Volume,Image 1,1,,
4.012,47.1083,µm^3,Volume,Image 1,1,,
4.148,46.0845,µm^3,Volume,Image 1,1,,
4.284,45.2218,µm^3,Volume,Image 1,1,,
4.42,44.2855,µm^3,Volume,Image 1,1,,
4.556,43.7375,µm^3,Volume,Image 1,1,,
4.692,43.2368,µm^3,Volume,Image 1,1,,
4.828,42.6127,µm^3,Volume,Image 1,1,,
4.964,41.8999,µm^3,Volume,Image 1,1,,
5.1,41.2104,µm^3,Volume,Image 1,1,,
5.236,40.4946,µm^3,Volume,Image 1,1,,
5.372,40.2673,µm^3,Volume,Image 1,1,,
