
Segment Intensity Max Ch=2 Img=1
 ==================== 
Segment Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
173,,Segment,2,5,Image 1,6,1,100000000,510000000013,
181,,Segment,2,4,Image 1,5,1,100000000,510000000095,
152,,Segment,2,3,Image 1,4,1,100000000,510000000105,
144,,Segment,2,2,Image 1,3,1,100000000,510000000132,
158,,Segment,2,1,Image 1,2,1,100000000,510000000139,
199,,Segment,2,0,Image 1,1,1,100000000,510000000158,
157,,Segment,2,5,Image 1,5,1,100000000,510000000194,
162,,Segment,2,5,Image 1,2,1,100000001,510000000205,
175,,Segment,2,4,Image 1,1,1,100000001,510000000211,
175,,Segment,2,3,Image 1,1,1,100000001,510000000223,
155,,Segment,2,2,Image 1,1,1,100000001,510000000226,
179,,Segment,2,1,Image 1,1,1,100000001,510000000235,
179,,Segment,2,0,Image 1,1,1,100000001,510000000260,
85,,Segment,2,4,Image 1,4,1,100000001,510000000270,
180,,Segment,2,3,Image 1,3,1,100000001,510000000287,
155,,Segment,2,2,Image 1,2,1,100000001,510000000312,
186,,Segment,2,2,Image 1,2,1,100000002,510000000320,
191,,Segment,2,0,Image 1,1,1,100000002,510000000328,
149,,Segment,2,8,Image 1,2,1,100000001,510000000388,
111,,Segment,2,7,Image 1,2,1,100000001,510000000393,
133,,Segment,2,6,Image 1,2,1,100000001,510000000431,
171,,Segment,2,5,Image 1,2,1,100000001,510000000445,
175,,Segment,2,4,Image 1,2,1,100000001,510000000474,
57,,Segment,2,9,Image 1,4,1,100000001,510000000477,
134,,Segment,2,8,Image 1,3,1,100000001,510000000514,
171,,Segment,2,7,Image 1,3,1,100000001,510000000527,
178,,Segment,2,6,Image 1,3,1,100000001,510000000571,
171,,Segment,2,5,Image 1,3,1,100000001,510000000588,
178,,Segment,2,9,Image 1,4,1,100000001,510000000618,
132,,Segment,2,8,Image 1,4,1,100000001,510000000623,
88,,Segment,2,9,Image 1,5,1,100000001,510000000628,
86,,Segment,2,8,Image 1,3,1,100000001,510000000635,
151,,Segment,2,2,Image 1,1,1,100000002,510000000680,
168,,Segment,2,0,Image 1,1,1,100000002,510000000733,
111,,Segment,2,7,Image 1,3,1,100000001,510000000761,
113,,Segment,2,5,Image 1,5,1,100000000,510000000764,
174,,Segment,2,4,Image 1,4,1,100000000,510000000806,
175,,Segment,2,3,Image 1,3,1,100000000,510000000824,
115,,Segment,2,8,Image 1,5,1,100000000,510000000826,
162,,Segment,2,7,Image 1,5,1,100000000,510000000867,
169,,Segment,2,6,Image 1,5,1,100000000,510000000878,
132,,Segment,2,5,Image 1,4,1,100000000,510000000893,
152,,Segment,2,4,Image 1,4,1,100000000,510000000897,
115,,Segment,2,8,Image 1,6,1,100000000,510000000899,
180,,Segment,2,2,Image 1,2,1,100000002,510000000984,
185,,Segment,2,0,Image 1,1,1,100000002,510000001022,
171,,Segment,2,7,Image 1,4,1,100000001,510000001032,
168,,Segment,2,1,Image 1,2,1,100000002,510000001121,
170,,Segment,2,0,Image 1,1,1,100000002,510000001131,
84,,Segment,2,9,Image 1,2,1,100000002,510000001149,
136,,Segment,2,8,Image 1,1,1,100000002,510000001158,
125,,Segment,2,7,Image 1,1,1,100000002,510000001162,
173,,Segment,2,6,Image 1,1,1,100000002,510000001172,
187,,Segment,2,5,Image 1,1,1,100000002,510000001183,
