
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
45,,Surface,1,Image 1,1,0,
43,,Surface,1,Image 1,1,1,
76,,Surface,1,Image 1,1,2,
