
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
1.20039e+06,,Surface,3,Image 1,1,0,
1.32327e+06,,Surface,3,Image 1,1,1,
3.8099e+06,,Surface,3,Image 1,1,2,
