
Spine Max Diameter
 ==================== 
Spine Max Diameter,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.428441,µm,Spine,1,1,1,100000002,610000000670,
0.418423,µm,Spine,1,1,1,100000002,610000000693,
0.530098,µm,Spine,0,1,1,100000001,610000000715,
0.530098,µm,Spine,0,1,1,100000001,610000000736,
0.418423,µm,Spine,1,1,1,100000002,610000000752,
0.530098,µm,Spine,0,1,1,100000001,610000000771,
0.530098,µm,Spine,0,1,1,100000001,610000000788,
0.418423,µm,Spine,1,1,1,100000002,610000000801,
0.406593,µm,Spine,0,1,1,100000001,610000000820,
0.487002,µm,Spine,0,1,1,100000001,610000000835,
0.323496,µm,Spine,0,1,1,100000001,610000000849,
0.323496,µm,Spine,0,1,1,100000001,610000000862,
0.406593,µm,Spine,0,1,1,100000001,610000000878,
1.1935,µm,Spine,,,1,100000000,610000000886,
0.418423,µm,Spine,1,1,1,100000002,610000000893,
0.498606,µm,Spine,0,1,1,100000002,610000000903,
0.324668,µm,Spine,,,1,100000000,610000000907,
0.335425,µm,Spine,0,1,1,100000001,610000000916,
0.498606,µm,Spine,0,1,1,100000002,610000000924,
1.1935,µm,Spine,,,1,100000000,610000000930,
0.609394,µm,Spine,,,1,100000000,610000000933,
0.498606,µm,Spine,0,1,1,100000002,610000000940,
0.481985,µm,Spine,0,1,1,100000001,610000000949,
0.324668,µm,Spine,,,1,100000000,610000000953,
0.498606,µm,Spine,0,1,1,100000002,610000000959,
0.498606,µm,Spine,0,1,1,100000002,610000000965,
0.570035,µm,Spine,,,1,100000000,610000000969,
0.454936,µm,Spine,,,1,100000000,610000000974,
0.537012,µm,Spine,0,1,1,100000001,610000000983,
0.418423,µm,Spine,1,1,1,100000002,610000000988,
0.309258,µm,Spine,0,1,1,100000001,610000000995,
0.406593,µm,Spine,0,1,1,100000001,610000001001,
0.406593,µm,Spine,0,1,1,100000001,610000001007,
0.418423,µm,Spine,1,1,1,100000002,610000001010,
0.418423,µm,Spine,1,1,1,100000002,610000001013,
0.498606,µm,Spine,0,1,1,100000002,610000001017,
0.335425,µm,Spine,0,1,1,100000001,610000001022,
0.570035,µm,Spine,,,1,100000000,610000001026,
0.309258,µm,Spine,0,1,1,100000001,610000001031,
0.629128,µm,Spine,,,1,100000000,610000001034,
0.406593,µm,Spine,0,1,1,100000001,610000001039,
0.816224,µm,Spine,0,1,1,100000002,610000001042,
0.441074,µm,Spine,,,1,100000000,610000001044,
0.498606,µm,Spine,0,1,1,100000002,610000001047,
0.524775,µm,Spine,1,1,1,100000002,610000001051,
0.406593,µm,Spine,0,1,1,100000001,610000001056,
0.300691,µm,Spine,0,1,1,100000002,610000001058,
0.35891,µm,Spine,0,1,1,100000001,610000001061,
0.359989,µm,Spine,0,1,1,100000002,610000001063,
0.335425,µm,Spine,0,1,1,100000001,610000001066,
0.309258,µm,Spine,0,1,1,100000001,610000001069,
0.574595,µm,Spine,0,1,1,100000002,610000001074,
0.803932,µm,Spine,0,1,1,100000002,610000001076,
0.334072,µm,Spine,0,1,1,100000002,610000001078,
0.406593,µm,Spine,0,1,1,100000001,610000001081,
0.596293,µm,Spine,0,1,1,100000002,610000001083,
0.426127,µm,Spine,0,1,1,100000002,610000001086,
0.285957,µm,Spine,0,1,1,100000001,610000001099,
0.281255,µm,Spine,0,1,1,100000001,610000001100,
0.349007,µm,Spine,0,1,1,100000001,610000001101,
0.469939,µm,Spine,0,1,1,100000002,610000001103,
0.337098,µm,Spine,0,1,1,100000002,610000001104,
0.3872,µm,Spine,0,1,1,100000002,610000001105,
0.39635,µm,Spine,0,1,1,100000002,610000001106,
0.406102,µm,Spine,0,1,1,100000002,610000001107,
