
Spine Attachment Pt Position Z
 ==================== 
Spine Attachment Pt Position Z,Unit,Category,Collection,Depth,Level,Time,FilamentID,ID,
1430.8,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000001013,
1430.81,µm,Spine,Spine Attachment Pt Position,1,1,1,100000002,610000001051,
1430.45,µm,Spine,Spine Attachment Pt Position,0,1,1,100000002,610000001063,
1430.58,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001066,
1429.95,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001069,
1430.61,µm,Spine,Spine Attachment Pt Position,0,1,1,100000001,610000001081,
1429.92,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001110,
1429.92,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001111,
1430.28,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001112,
1430.58,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001113,
1430.76,µm,Spine,Spine Attachment Pt Position,0,1,1,,610000001114,
