
Soma Ellipticity (prolate)
 ==================== 
Soma Ellipticity (prolate),Unit,Category,Time,FilamentID,ID,
0.210131,,Soma,1,100000000,800000000,
0.751394,,Soma,1,100000001,800000001,
0.323767,,Soma,1,100000002,800000002,
