
Pt Distance from Origin
 ==================== 
Pt Distance from Origin,Unit,Category,Collection,Depth,Time,Type,FilamentID,ID,
28269.4,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000000,800000000,
28299.9,µm,Point,Pt Distance from Origin,0,1,Segment Beginning,100000001,800000001,
28272.2,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000002,
28272.4,µm,Point,Pt Distance from Origin,2,1,Segment,100000000,800000003,
28272.3,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000004,
28270.3,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000005,
28276.1,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000006,
28276.3,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000007,
28276.5,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000008,
28275.5,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000009,
28275.2,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000010,
28274.3,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000011,
28272.2,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000012,
28265.8,µm,Point,Pt Distance from Origin,2,1,Segment Terminal,100000000,800000013,
28266.3,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000014,
28267.6,µm,Point,Pt Distance from Origin,0,1,Segment Branch,100000000,800000015,
28270.8,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000016,
28271.1,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000017,
28271,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000018,
28272.2,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000019,
28272.5,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000020,
28272.2,µm,Point,Pt Distance from Origin,3,1,Segment,100000000,800000021,
28272.4,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000022,
28272.2,µm,Point,Pt Distance from Origin,1,1,Segment Branch,100000000,800000023,
28275.8,µm,Point,Pt Distance from Origin,6,1,Segment Terminal,100000000,800000024,
28273.3,µm,Point,Pt Distance from Origin,7,1,Segment Terminal,100000000,800000025,
28275,µm,Point,Pt Distance from Origin,6,1,Segment Branch,100000000,800000026,
28276,µm,Point,Pt Distance from Origin,5,1,Segment Branch,100000000,800000027,
28275.5,µm,Point,Pt Distance from Origin,4,1,Segment Branch,100000000,800000028,
28274.9,µm,Point,Pt Distance from Origin,3,1,Segment Branch,100000000,800000029,
28274.8,µm,Point,Pt Distance from Origin,2,1,Segment Branch,100000000,800000030,
