
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-2.244,1.8857,µm^3,Cumulative Volume,Image 1,1,,
-2.108,7.08311,µm^3,Cumulative Volume,Image 1,1,,
-1.972,16.6029,µm^3,Cumulative Volume,Image 1,1,,
-1.836,31.4198,µm^3,Cumulative Volume,Image 1,1,,
-1.7,50.6469,µm^3,Cumulative Volume,Image 1,1,,
-1.564,75.3224,µm^3,Cumulative Volume,Image 1,1,,
-1.428,103.443,µm^3,Cumulative Volume,Image 1,1,,
-1.292,137.007,µm^3,Cumulative Volume,Image 1,1,,
-1.156,177.605,µm^3,Cumulative Volume,Image 1,1,,
-1.02,221.596,µm^3,Cumulative Volume,Image 1,1,,
-0.884,271.168,µm^3,Cumulative Volume,Image 1,1,,
-0.748,328.661,µm^3,Cumulative Volume,Image 1,1,,
-0.612,389.013,µm^3,Cumulative Volume,Image 1,1,,
-0.476,455.387,µm^3,Cumulative Volume,Image 1,1,,
-0.34,530.395,µm^3,Cumulative Volume,Image 1,1,,
-0.204,605.177,µm^3,Cumulative Volume,Image 1,1,,
-0.0679998,682.927,µm^3,Cumulative Volume,Image 1,1,,
0.0680001,765.307,µm^3,Cumulative Volume,Image 1,1,,
0.204,838.803,µm^3,Cumulative Volume,Image 1,1,,
0.34,909.996,µm^3,Cumulative Volume,Image 1,1,,
0.476,976.732,µm^3,Cumulative Volume,Image 1,1,,
0.612,1043.22,µm^3,Cumulative Volume,Image 1,1,,
0.748,1110.04,µm^3,Cumulative Volume,Image 1,1,,
0.884,1176.17,µm^3,Cumulative Volume,Image 1,1,,
1.02,1242.91,µm^3,Cumulative Volume,Image 1,1,,
1.156,1310,µm^3,Cumulative Volume,Image 1,1,,
1.292,1377.11,µm^3,Cumulative Volume,Image 1,1,,
1.428,1444.44,µm^3,Cumulative Volume,Image 1,1,,
1.564,1511.72,µm^3,Cumulative Volume,Image 1,1,,
1.7,1579.01,µm^3,Cumulative Volume,Image 1,1,,
1.836,1646.26,µm^3,Cumulative Volume,Image 1,1,,
1.972,1713.65,µm^3,Cumulative Volume,Image 1,1,,
2.108,1781,µm^3,Cumulative Volume,Image 1,1,,
2.244,1848.61,µm^3,Cumulative Volume,Image 1,1,,
2.38,1916.27,µm^3,Cumulative Volume,Image 1,1,,
2.516,1984.06,µm^3,Cumulative Volume,Image 1,1,,
2.652,2051.93,µm^3,Cumulative Volume,Image 1,1,,
2.788,2120.58,µm^3,Cumulative Volume,Image 1,1,,
2.924,2189.59,µm^3,Cumulative Volume,Image 1,1,,
3.06,2259.19,µm^3,Cumulative Volume,Image 1,1,,
3.196,2329.24,µm^3,Cumulative Volume,Image 1,1,,
3.332,2399.7,µm^3,Cumulative Volume,Image 1,1,,
3.468,2470.9,µm^3,Cumulative Volume,Image 1,1,,
3.604,2542.68,µm^3,Cumulative Volume,Image 1,1,,
3.74,2614.86,µm^3,Cumulative Volume,Image 1,1,,
3.876,2687.84,µm^3,Cumulative Volume,Image 1,1,,
4.012,2761.3,µm^3,Cumulative Volume,Image 1,1,,
4.148,2835.39,µm^3,Cumulative Volume,Image 1,1,,
4.284,2910.3,µm^3,Cumulative Volume,Image 1,1,,
4.42,2985.53,µm^3,Cumulative Volume,Image 1,1,,
4.556,3061.66,µm^3,Cumulative Volume,Image 1,1,,
4.692,3138.63,µm^3,Cumulative Volume,Image 1,1,,
4.828,3216.35,µm^3,Cumulative Volume,Image 1,1,,
4.964,3294.57,µm^3,Cumulative Volume,Image 1,1,,
5.1,3373.09,µm^3,Cumulative Volume,Image 1,1,,
5.236,3451.55,µm^3,Cumulative Volume,Image 1,1,,
5.372,3530.78,µm^3,Cumulative Volume,Image 1,1,,
5.508,3610.53,µm^3,Cumulative Volume,Image 1,1,,
5.644,3690.39,µm^3,Cumulative Volume,Image 1,1,,
5.78,3770.2,µm^3,Cumulative Volume,Image 1,1,,
5.916,3849.7,µm^3,Cumulative Volume,Image 1,1,,
6.052,3929.83,µm^3,Cumulative Volume,Image 1,1,,
6.188,4010.38,µm^3,Cumulative Volume,Image 1,1,,
6.324,4091.21,µm^3,Cumulative Volume,Image 1,1,,
6.46,4172.01,µm^3,Cumulative Volume,Image 1,1,,
6.596,4252.66,µm^3,Cumulative Volume,Image 1,1,,
6.732,4334.05,µm^3,Cumulative Volume,Image 1,1,,
6.868,4416.16,µm^3,Cumulative Volume,Image 1,1,,
7.004,4498.81,µm^3,Cumulative Volume,Image 1,1,,
7.14,4581.89,µm^3,Cumulative Volume,Image 1,1,,
7.276,4664.92,µm^3,Cumulative Volume,Image 1,1,,
7.412,4747.65,µm^3,Cumulative Volume,Image 1,1,,
7.548,4831.18,µm^3,Cumulative Volume,Image 1,1,,
7.684,4915.15,µm^3,Cumulative Volume,Image 1,1,,
7.82,4999.07,µm^3,Cumulative Volume,Image 1,1,,
7.956,5082.65,µm^3,Cumulative Volume,Image 1,1,,
8.092,5165.06,µm^3,Cumulative Volume,Image 1,1,,
8.228,5247.17,µm^3,Cumulative Volume,Image 1,1,,
8.364,5330.06,µm^3,Cumulative Volume,Image 1,1,,
8.5,5412.73,µm^3,Cumulative Volume,Image 1,1,,
8.636,5495.62,µm^3,Cumulative Volume,Image 1,1,,
8.772,5576.83,µm^3,Cumulative Volume,Image 1,1,,
8.908,5656.36,µm^3,Cumulative Volume,Image 1,1,,
9.044,5735.07,µm^3,Cumulative Volume,Image 1,1,,
9.18,5811.69,µm^3,Cumulative Volume,Image 1,1,,
9.316,5886.88,µm^3,Cumulative Volume,Image 1,1,,
9.452,5959.73,µm^3,Cumulative Volume,Image 1,1,,
9.588,6031.17,µm^3,Cumulative Volume,Image 1,1,,
9.724,6102.3,µm^3,Cumulative Volume,Image 1,1,,
9.86,6172.14,µm^3,Cumulative Volume,Image 1,1,,
9.996,6241.55,µm^3,Cumulative Volume,Image 1,1,,
10.132,6309.4,µm^3,Cumulative Volume,Image 1,1,,
10.268,6376.54,µm^3,Cumulative Volume,Image 1,1,,
10.404,6442.16,µm^3,Cumulative Volume,Image 1,1,,
10.54,6506.91,µm^3,Cumulative Volume,Image 1,1,,
10.676,6571.67,µm^3,Cumulative Volume,Image 1,1,,
10.812,6635.26,µm^3,Cumulative Volume,Image 1,1,,
10.948,6698.24,µm^3,Cumulative Volume,Image 1,1,,
11.084,6759.79,µm^3,Cumulative Volume,Image 1,1,,
11.22,6820.72,µm^3,Cumulative Volume,Image 1,1,,
11.356,6881.87,µm^3,Cumulative Volume,Image 1,1,,
11.492,6942.32,µm^3,Cumulative Volume,Image 1,1,,
11.628,7002.32,µm^3,Cumulative Volume,Image 1,1,,
11.764,7060.93,µm^3,Cumulative Volume,Image 1,1,,
11.9,7118.88,µm^3,Cumulative Volume,Image 1,1,,
12.036,7176.88,µm^3,Cumulative Volume,Image 1,1,,
12.172,7233.93,µm^3,Cumulative Volume,Image 1,1,,
12.308,7290.68,µm^3,Cumulative Volume,Image 1,1,,
12.444,7346.34,µm^3,Cumulative Volume,Image 1,1,,
12.58,7401.78,µm^3,Cumulative Volume,Image 1,1,,
12.716,7457.49,µm^3,Cumulative Volume,Image 1,1,,
12.852,7512.7,µm^3,Cumulative Volume,Image 1,1,,
12.988,7567.93,µm^3,Cumulative Volume,Image 1,1,,
13.124,7622.18,µm^3,Cumulative Volume,Image 1,1,,
13.26,7676.09,µm^3,Cumulative Volume,Image 1,1,,
13.396,7730.29,µm^3,Cumulative Volume,Image 1,1,,
13.532,7783.88,µm^3,Cumulative Volume,Image 1,1,,
13.668,7837.51,µm^3,Cumulative Volume,Image 1,1,,
13.804,7890.61,µm^3,Cumulative Volume,Image 1,1,,
13.94,7943.55,µm^3,Cumulative Volume,Image 1,1,,
14.076,7995.67,µm^3,Cumulative Volume,Image 1,1,,
14.212,8047.65,µm^3,Cumulative Volume,Image 1,1,,
14.348,8100.16,µm^3,Cumulative Volume,Image 1,1,,
14.484,8152.11,µm^3,Cumulative Volume,Image 1,1,,
14.62,8204.08,µm^3,Cumulative Volume,Image 1,1,,
14.756,8255.08,µm^3,Cumulative Volume,Image 1,1,,
14.892,8305.78,µm^3,Cumulative Volume,Image 1,1,,
15.028,8356.76,µm^3,Cumulative Volume,Image 1,1,,
15.164,8407.28,µm^3,Cumulative Volume,Image 1,1,,
15.3,8457.75,µm^3,Cumulative Volume,Image 1,1,,
15.436,8507.43,µm^3,Cumulative Volume,Image 1,1,,
15.572,8556.91,µm^3,Cumulative Volume,Image 1,1,,
15.708,8606.95,µm^3,Cumulative Volume,Image 1,1,,
15.844,8656.97,µm^3,Cumulative Volume,Image 1,1,,
15.98,8707.02,µm^3,Cumulative Volume,Image 1,1,,
16.116,8755.5,µm^3,Cumulative Volume,Image 1,1,,
16.252,8804.52,µm^3,Cumulative Volume,Image 1,1,,
16.388,8853.13,µm^3,Cumulative Volume,Image 1,1,,
16.524,8900.08,µm^3,Cumulative Volume,Image 1,1,,
16.66,8946.98,µm^3,Cumulative Volume,Image 1,1,,
16.796,8992.32,µm^3,Cumulative Volume,Image 1,1,,
16.932,9035.05,µm^3,Cumulative Volume,Image 1,1,,
17.068,9077.34,µm^3,Cumulative Volume,Image 1,1,,
17.204,9119.03,µm^3,Cumulative Volume,Image 1,1,,
17.34,9159.18,µm^3,Cumulative Volume,Image 1,1,,
17.476,9197.35,µm^3,Cumulative Volume,Image 1,1,,
17.612,9235.26,µm^3,Cumulative Volume,Image 1,1,,
17.748,9271.91,µm^3,Cumulative Volume,Image 1,1,,
17.884,9306.22,µm^3,Cumulative Volume,Image 1,1,,
18.02,9339.4,µm^3,Cumulative Volume,Image 1,1,,
18.156,9370.93,µm^3,Cumulative Volume,Image 1,1,,
18.292,9400.29,µm^3,Cumulative Volume,Image 1,1,,
18.428,9427.34,µm^3,Cumulative Volume,Image 1,1,,
18.564,9453.39,µm^3,Cumulative Volume,Image 1,1,,
18.7,9478.12,µm^3,Cumulative Volume,Image 1,1,,
18.836,9501.03,µm^3,Cumulative Volume,Image 1,1,,
18.972,9523.05,µm^3,Cumulative Volume,Image 1,1,,
19.108,9543.86,µm^3,Cumulative Volume,Image 1,1,,
19.244,9563.15,µm^3,Cumulative Volume,Image 1,1,,
19.38,9581.9,µm^3,Cumulative Volume,Image 1,1,,
19.516,9600.12,µm^3,Cumulative Volume,Image 1,1,,
19.652,9617.6,µm^3,Cumulative Volume,Image 1,1,,
19.788,9634.26,µm^3,Cumulative Volume,Image 1,1,,
19.924,9650.88,µm^3,Cumulative Volume,Image 1,1,,
20.06,9667.21,µm^3,Cumulative Volume,Image 1,1,,
20.196,9682.92,µm^3,Cumulative Volume,Image 1,1,,
20.332,9698.79,µm^3,Cumulative Volume,Image 1,1,,
20.468,9714.63,µm^3,Cumulative Volume,Image 1,1,,
20.604,9730.11,µm^3,Cumulative Volume,Image 1,1,,
20.74,9745.03,µm^3,Cumulative Volume,Image 1,1,,
20.876,9760.05,µm^3,Cumulative Volume,Image 1,1,,
21.012,9774.9,µm^3,Cumulative Volume,Image 1,1,,
21.148,9789.28,µm^3,Cumulative Volume,Image 1,1,,
21.284,9803.79,µm^3,Cumulative Volume,Image 1,1,,
21.42,9818.12,µm^3,Cumulative Volume,Image 1,1,,
21.556,9832.01,µm^3,Cumulative Volume,Image 1,1,,
21.692,9846.11,µm^3,Cumulative Volume,Image 1,1,,
21.828,9860.18,µm^3,Cumulative Volume,Image 1,1,,
21.964,9873.88,µm^3,Cumulative Volume,Image 1,1,,
22.1,9887.05,µm^3,Cumulative Volume,Image 1,1,,
22.236,9900.33,µm^3,Cumulative Volume,Image 1,1,,
22.372,9913.43,µm^3,Cumulative Volume,Image 1,1,,
22.508,9926.1,µm^3,Cumulative Volume,Image 1,1,,
22.644,9938.89,µm^3,Cumulative Volume,Image 1,1,,
22.78,9951.52,µm^3,Cumulative Volume,Image 1,1,,
22.916,9963.75,µm^3,Cumulative Volume,Image 1,1,,
23.052,9976.17,µm^3,Cumulative Volume,Image 1,1,,
23.188,9988.55,µm^3,Cumulative Volume,Image 1,1,,
23.324,10000.6,µm^3,Cumulative Volume,Image 1,1,,
23.46,10012.2,µm^3,Cumulative Volume,Image 1,1,,
23.596,10023.9,µm^3,Cumulative Volume,Image 1,1,,
23.732,10035.4,µm^3,Cumulative Volume,Image 1,1,,
23.868,10046.5,µm^3,Cumulative Volume,Image 1,1,,
24.004,10057.8,µm^3,Cumulative Volume,Image 1,1,,
24.14,10069,µm^3,Cumulative Volume,Image 1,1,,
24.276,10079.9,µm^3,Cumulative Volume,Image 1,1,,
24.412,10090.4,µm^3,Cumulative Volume,Image 1,1,,
24.548,10101,µm^3,Cumulative Volume,Image 1,1,,
24.684,10111.4,µm^3,Cumulative Volume,Image 1,1,,
24.82,10121.4,µm^3,Cumulative Volume,Image 1,1,,
24.956,10131.5,µm^3,Cumulative Volume,Image 1,1,,
