
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-2.244,1.8857,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.108,7.08311,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.972,16.6029,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.836,31.4198,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.7,50.6469,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.564,75.3224,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.428,103.443,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.292,137.007,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.156,177.605,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.02,221.596,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.884,271.168,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.748,328.661,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.612,389.013,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.476,455.387,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.34,530.395,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.204,605.177,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.0680001,682.927,µm^3,Cumulative Volume Inside,Image 1,1,,
