
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.2277e+06,,Surface,3,Image 1,1,0,
5.04777e+06,,Surface,3,Image 1,1,1,
