
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
9.7196e+06,,Surface,2,Image 1,1,0,
3.25318e+06,,Surface,2,Image 1,1,1,
