
Segment Spine Density
 ==================== 
Segment Spine Density,Unit,Category,Depth,Level,Time,FilamentID,ID,
2.00781,1/10µm,Segment,2,3,1,100000000,510000000057,
4.35648,1/10µm,Segment,1,2,1,100000000,510000000076,
0,1/10µm,Segment,0,1,1,100000000,510000000085,
0,1/10µm,Segment,6,4,1,100000000,510000000099,
0,1/10µm,Segment,5,3,1,100000000,510000000106,
0,1/10µm,Segment,4,2,1,100000000,510000000140,
0,1/10µm,Segment,3,2,1,100000000,510000000153,
0,1/10µm,Segment,2,1,1,100000000,510000000164,
0,1/10µm,Segment,1,1,1,100000000,510000000182,
35.1344,1/10µm,Segment,0,1,1,100000000,510000000199,
22.7188,1/10µm,Segment,2,2,1,100000000,510000000238,
0,1/10µm,Segment,1,1,1,100000000,510000000262,
0,1/10µm,Segment,0,1,1,100000000,510000000280,
5.89062,1/10µm,Segment,2,2,1,100000001,510000000322,
0,1/10µm,Segment,1,1,1,100000001,510000000333,
12.2138,1/10µm,Segment,0,1,1,100000001,510000000375,
19.4094,1/10µm,Segment,2,1,1,100000001,510000000387,
0,1/10µm,Segment,1,2,1,100000001,510000000391,
12.3097,1/10µm,Segment,7,4,1,100000001,510000000405,
10.9692,1/10µm,Segment,6,4,1,100000001,510000000412,
9.95628,1/10µm,Segment,5,4,1,100000001,510000000419,
0,1/10µm,Segment,4,3,1,100000001,510000000427,
0,1/10µm,Segment,3,3,1,100000001,510000000434,
0,1/10µm,Segment,2,2,1,100000001,510000000441,
0,1/10µm,Segment,1,2,1,100000001,510000000466,
0,1/10µm,Segment,5,3,1,100000001,510000000504,
0,1/10µm,Segment,4,2,1,100000001,510000000538,
17.0683,1/10µm,Segment,6,3,1,100000001,510000000553,
0,1/10µm,Segment,5,2,1,100000001,510000000566,
0,1/10µm,Segment,6,2,1,100000001,510000000576,
2.26884,1/10µm,Segment,3,3,1,100000001,510000000630,
7.30183,1/10µm,Segment,2,3,1,100000001,510000000643,
0,1/10µm,Segment,7,5,1,100000001,510000000648,
0,1/10µm,Segment,6,5,1,100000001,510000000653,
0,1/10µm,Segment,5,3,1,100000001,510000000657,
7.55647,1/10µm,Segment,5,4,1,100000001,510000000665,
0,1/10µm,Segment,4,4,1,100000001,510000000668,
0,1/10µm,Segment,4,3,1,100000001,510000000672,
0,1/10µm,Segment,3,4,1,100000001,510000000676,
0,1/10µm,Segment,7,3,1,100000000,510000000691,
0,1/10µm,Segment,6,3,1,100000000,510000000694,
0,1/10µm,Segment,5,3,1,100000000,510000000729,
0,1/10µm,Segment,4,2,1,100000000,510000000735,
2.48481,1/10µm,Segment,3,2,1,100000000,510000000773,
0,1/10µm,Segment,2,2,1,100000000,510000000784,
0,1/10µm,Segment,1,2,1,100000000,510000000787,
