
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-2.244,1.8857,µm^3,Volume Inside,Image 1,1,,
-2.108,5.1974,µm^3,Volume Inside,Image 1,1,,
-1.972,9.51977,µm^3,Volume Inside,Image 1,1,,
-1.836,14.8169,µm^3,Volume Inside,Image 1,1,,
-1.7,19.2271,µm^3,Volume Inside,Image 1,1,,
-1.564,24.6755,µm^3,Volume Inside,Image 1,1,,
-1.428,28.1207,µm^3,Volume Inside,Image 1,1,,
-1.292,33.564,µm^3,Volume Inside,Image 1,1,,
-1.156,40.5973,µm^3,Volume Inside,Image 1,1,,
-1.02,43.9918,µm^3,Volume Inside,Image 1,1,,
-0.884,49.5716,µm^3,Volume Inside,Image 1,1,,
-0.748,57.4934,µm^3,Volume Inside,Image 1,1,,
-0.612,60.3513,µm^3,Volume Inside,Image 1,1,,
-0.476,66.3743,µm^3,Volume Inside,Image 1,1,,
-0.34,75.0081,µm^3,Volume Inside,Image 1,1,,
-0.204,74.7816,µm^3,Volume Inside,Image 1,1,,
-0.0680001,77.7506,µm^3,Volume Inside,Image 1,1,,
